偎	亻田一󰀖
誉	󰀧一八言
骺	󰀾月⺁口
枋	木方ノ
回	囗口󰀌
俑	亻󰁻用
羰	䒑󰀠山火
攘	扌亠口󰀔
津	氵󰁬二丨
酋	丷西一󰀘
踅	扌斤口󰁾
煋	火曰丿
清	氵主月󰀝
克	古儿󰀅
毁	臼工几又
戚	厂󰀥一丶
沪	氵丶尸ノ
母	母󰄃𠃌丶
燮	言火火又
粪	米󰁺八󰁧
痔	疒土寸󰀦
臼	臼丿丨一
帕	冂丨白󰀝
丕	丆卜一󰀘
舄	臼勹灬󰁧
茬	艹丨土
聱	主󰁡夂耳
碲	石亠丷丨
叠	又又又一
揠	扌匚日女
珠	王󰅎󰅇󰁶
计	讠十󰀢
芹	艹斤󰀬
驽	女又󰀊一
抹	扌一木󰁶
妄	亠󰄃女󰀘
榄	木〢𠂉󰁜
禄	礻󰁶󰁭氺
媛	女爫一又
馄	⺈󰁐日匕
赌	贝土丿日
插	扌丿十臼
蛭	虫一厶土
哓	口弋丿儿
芬	艹八刀󰁣
孺	孑󰀙丆〢
钩	钅勹厶󰁶
硷	石人一一
璩	王󰅋七󰀓
刎	勹󰁤刂󰀢
喔	口尸一土
撩	扌大丷小
彘	󰅂一𠂉匕
含	人丶乛口
动	二厶力ノ
饲	⺈󰁐𠃌口
觫	⺈用󰅇
赜	匚丨口贝
持	扌土寸󰁶
浜	氵󰅍一八
疔	疒丁󰀵
赕	贝火火󰁶
礅	石󰁸孑攵
优	亻乚丶
桄	木⺌一儿
苹	艹一丷十
衄	丿皿󰁈二
欺	艹三八人
府	广亻寸󰀦
绞	纟亠八乂
赃	贝广土󰀝
浃	氵一丷大
惦	忄广󰀥口
僦	亻󰁸小乚
怄	忄匚乂󰁶
蛟	虫亠八乂
勹	勹丿𠃌
娩	女⺈口󰁜
缏	纟亻一乂
铩	钅乂木󰁶
贪	人丶乛贝
桔	木士口󰀝
洪	氵󰁺八󰁶
哩	口日土󰀝
泷	氵ヒ丶
囟	丿囗乂󰀦
岍	山一廾󰀢
脸	月人一一
楹	木乃又皿
耜	三󰅇丨󰁃
鲍	󰁢󰀞勹巳
奈	大二小󰁧
獠	犭ノ大小
荠	艹文󰀯󰀬
占	󰀥口󰀘
次	冫⺈人󰁶
翅	十又羽󰀌
迅	⺄十辶󰀵
必	心丿󰀏
踬	口止⺁贝
寺	土寸󰁧
俅	亻一氺丶
考	土丿一ㄅ
诺	讠艹口
惬	忄匚一大
威	厂一女丶
喏	口艹口
纣	纟寸󰁶
舆	󰀗车一八
徘	彳丨三三
毋	󰅂󰀌
胸	月勹乂凵
迕	𠂉十辶󰀵
惧	忄󰀣八󰁶
同	冂一口󰀌
翕	人一口羽
脱	月丷口儿
鄱	丿米田阝
槲	木⺈月十
焱	火火火󰁧
蒂	艹亠丷丨
鳜	󰁢󰀞厂人
榧	木匚丨三
莸	艹犭ノ丶
掠	扌󰁸小󰁶
寡	宀丆󰀐刀
诡	讠⺈厂⺋
篡	⺮目大厶
窝	宀八口人
尜	小大小󰁧
没	氵
瓠	大二ㄅ󰂃
摹	艹日大手
铠	钅山己󰁀
论	讠人匕󰁀
虎	󰅋七几󰁫
陟	阝止󰀤ノ
溏	氵广󰁬口
序	广󰁻乛亅
酵	西一土子
晟	日厂𠃌丶
龚	ヒ丶八
羚	䒑󰀠人󰁻
妩	女二󰁜󰁀
妲	女日一󰀝
哔	口󰁴匕十
衙	彳五口丁
怦	忄一丷十
哌	口⺁󰀕󰁶
腱	月󰁬󰀟廴
匪	匚丨三三
挪	扌刀二阝
铌	钅尸匕󰁀
迦	力口辶󰀌
罱	罒十冂十
礻	礻󰁶丶丶
校	木亠八乂
遛	󰁚丶刀辶
历	厂力󰀏
诘	讠士口󰀝
鍪	󰁻乛亅金
赛	宀󰀀八贝
禽	人文凵厶
袄	衤󰁧丿大
玹	王亠幺󰁶
莹	艹冖王丶
屺	山己󰁀
矿	石广ノ
彦	立丿彡󰀏
恳	彐󰀖心󰁧
野	日土󰁻亅
桦	木亻ヒ十
刨	勹巳刂󰀢
盥	󰀗水皿󰀘
爨	󰀗ㄇ一火
靖	立主月󰀝
励	厂一󰁡力
抱	扌勹巳󰁀
犊	ノ扌十大
颔	人丶乛贝
侠	亻一丷大
籍	⺮三󰅇日
群	󰁬丿口󰀟
和	禾口󰀝
夙	几一夕󰀦
掂	扌广󰀥口
蒌	艹米女󰀘
钌	钅了󰀢
鼠	臼󰁐󰁦󰁒
骗	󰀊󰀞丶艹
挠	扌弋丿儿
匠	匚斤󰀵
氡	󰅎⺄夂󰁦
箜	⺮宀八工
虿	一󰁡虫󰁧
宜	宀󰀐一󰀘
醛	西一艹王
胃	田月󰀘
烃	火ス工󰀝
虞	󰅋七口大
军	冖车󰀬
枥	木厂力ノ
箔	⺮氵白󰀘
膛	月⺌冖土
龅	止人凵巳
辅	车一月丶
芈	丨一󰀥󰀟
飙	大丶大乂
殍	一夕爫子
娲	女口冂人
英	艹ㄇ大󰁧
狱	犭󰁥讠犬
骋	󰀊󰀞由ㄅ
羞	䒑󰀠󰁈二
邾	󰅎󰅇阝󰀢
靥	厂大丶三
蝥	󰁻乛亅虫
早	早丨󰁈丨
苈	艹厂力󰁣
个	人丨󰀬
盹	目一凵乚
茂	艹厂󰅅丶
闩	门一󰀌
踪	口止宀小
峡	山一丷大
砹	石艹乂󰁶
恸	忄二厶力
泡	氵勹巳󰁀
钠	钅冂人󰁶
诜	讠丿土儿
改	󰁁夂󰁶
陲	阝ノ一士
蔹	艹人一夂
锹	钅禾火󰁶
仅	亻又󰁶
圄	囗五口󰀌
縻	广木木小
诔	讠三󰅇󰁶
耋	土丿匕土
霄	󰀙⺌月󰀘
爱	爫冖又
舱	丿󰁪人⺋
茌	艹亻士󰀘
恼	忄文凵
戊	厂󰅅丶󰀦
歃	丿十臼人
退	彐󰀖辶󰀦
钫	钅方ノ
绪	纟土丿日
蜩	虫󰀼土口
黪	󰀹土灬彡
嬷	女广木厶
欷	乂冂人
仪	亻
圩	土一󰀛󰀢
夯	大力󰁣
瘥	疒䒑󰀠工
平	一丷十󰀵
偃	亻匚日女
纺	纟方ノ
防	阝方ノ
恃	忄土寸󰁶
畹	田宀夕⺋
无	二󰁜󰁫
鲺	󰁢󰀞⺄虫
蕹	艹亠󰁲󰁷
创	人⺋刂󰀢
戛	丆目戈󰁧
麾	广木木乚
台	厶口󰀘
耢	三󰅇艹力
箱	⺮木目󰀘
菰	艹孑⺁󰂃
战	󰀥口戈󰁶
氍	目目亻乚
双	又又󰁶
谅	讠󰁸小󰁶
羼	尸丷󰅆󰀟
揄	扌人一刂
恍	忄⺌一儿
度	广廿又󰀦
纪	纟己󰁀
亢	亠几󰀅
革	廿󰀜󰀬
谍	讠廿󰄃木
庳	广白丿十
溪	氵爫ㄠ大
坩	土艹二󰀝
交	亠八乂󰁧
搠	扌䒑凵月
吠	口犬󰁶
釜	八乂干䒑
肃	󰁬󰅏󰀯󰀵
邃	宀八䒑辶
悃	忄囗木󰁶
象	⺈口󰀓󰁧
彝	󰅂一米廾
孔	孑乚󰁀
构	木勹厶󰁶
瞄	目艹田󰀝
楣	木󰁅目󰀝
鞫	廿󰀜勹言
捶	扌ノ一士
锄	钅󰀐󰀞力
厌	厂犬󰀦
掌	⺌冖口手
脏	月广土󰀝
氰	󰅎⺄主月
氅	⺌冂口乚
珏	王王丶󰁶
萧	艹󰁬󰅏󰀯
裒	亠臼󰀔󰁧
释	丿米又󰀟
飒	立几乂󰁶
罪	罒丨三三
蚩	凵丨一虫
魍	白󰁜厶󰄃
濮	氵亻󰅊人
铫	钅儿󰀪󰁶
螭	虫文凵厶
臃	月亠󰁲󰁷
燃	火󰁝大灬
窜	宀八口丨
贡	工贝󰁧
鞭	廿口十乂
鸢	弋勹丶一
郏	一丷大阝
赋	贝二止丶
躅	口止罒虫
鸵	勹丶ㄅ匕
铹	钅艹冖力
附	阝亻寸󰁶
就	高小󰅑乚
笱	⺮勹口󰀘
惋	忄宀夕⺋
印	󰁚一卩󰀢
芘	艹󰁴匕󰀅
渤	氵十冖力
窍	宀八工ㄅ
扌	扌一亅󰀞
噔	口癶一䒑
井	二󰀯󰀵
癔	疒立日心
晔	日亻ヒ十
陔	阝亠ㄥ人
雩	󰀙二ㄅ󰀅
蛩	工几丶虫
缪	纟羽人彡
曩	日亠口󰀔
弪	弓ス工󰀝
伪	亻丶丿丶
甥	丿主田力
泱	氵ㄇ大󰁶
疠	疒一󰁡󰀏
嘹	口大丷小
斓	文门一󰅇
崂	山艹冖力
阪	阝⺁又󰁶
淡	氵火火󰁶
巡	巛辶󰁫
阄	门⺈日乚
牛	󰅎丨󰀵
扛	扌工󰀝
嫔	女宀󰅍八
儋	亻⺈厂言
淅	氵木斤󰀢
现	王ㄇ󰁜󰁀
掰	八刀手
臂	尸口立月
莰	艹土⺈人
磋	石䒑󰀠工
吩	口八刀ノ
昔	󰁺日󰀘
戌	厂一󰅅丶
种	禾口丨󰀢
舌	丿古󰀌
蹼	口止󰅊人
吏	一口乂󰀦
席	广廿冂丨
阔	门氵丿古
幽	山ㄠㄠ󰀦
沢	氵尸󰂃󰁶
捞	扌艹冖力
沿	氵几口󰀝
帆	冂丨几丶
元	二儿󰀅
雾	󰀙夂力󰁣
协	十力八󰁶
鱿	󰁢󰀞丶
绠	纟一日乂
貊	豸丆日󰀝
验	󰀊󰀞人一
缅	纟丆冂三
恋	亠󰁗心󰁧
亡	亠󰄃󰁫
沱	氵宀匕󰁀
虹	虫工󰀝
纡	纟一󰀛󰀢
雄	厶亻󰁷
雠	亻󰁷讠󰁷
唾	口ノ一士
拌	扌䒑十󰀢
宪	宀丿土儿
苌	艹丿七󰂃
粱	氵刀八米
殪	一夕士䒑
鲱	󰁢󰀞丨三
讪	讠山󰀢
蚁	虫丶乂󰁶
鲞	䒑大󰁢一
瑶	王爫󰅎山
镬	钅艹亻又
应	广󰀧一󰀌
骝	󰀊󰀞󰁚田
妹	女二󰅇󰁶
嬲	田力女力
喹	口大土土
方	方丶一丿
赡	贝⺈厂言
弄	王廾󰀬
琥	王󰅋七几
唠	口艹冖力
锼	钅臼丨又
沆	氵亠几󰁀
的	白勹丶󰁶
肋	月力
鹅	丿扌󰁒一
蔬	艹乛止󰀸
筱	⺮亻丨夂
久	ク󰂃󰀦
疹	疒人彡󰀏
薹	艹士口土
瞌	目土厶皿
厩	厂彐厶󰁜
爰	爫一又
驱	󰀊󰀞匚乂
莩	艹爫子󰀘
幕	艹日大丨
汪	氵王󰀝
玩	王二儿󰁀
佩	亻几一丨
鹕	古月勹一
箫	⺮󰁬󰅏󰀯
综	纟宀二小
娇	女丿大󰀯
酃	󰀙口口阝
胶	月亠八乂
茏	艹ヒ丶
玛	王马󰀝
莛	艹丿士廴
馔	⺈󰁐巳八
鼯	臼󰁐󰁦口
罹	罒忄亻󰁷
嘁	口厂󰀥丶
霸	󰀙廿󰀜月
榔	木丶彐阝
仂	亻力ノ
滂	氵亠丷方
摘	扌亠丷古
氘	󰅎⺄󰀯󰀬
纩	纟广ノ
鸡	又勹丶一
榜	木亠丷方
尕	乃小󰁧
掷	扌䒑大阝
涿	氵一󰀓丶
评	讠一丷十
骟	󰀊󰀞丶羽
详	讠丷󰅆󰀢
嵯	山䒑󰀠工
壳	士冖几󰀅
晁	日儿󰀪󰁧
憋	丷冂󰅏心
桃	木儿󰀪󰁶
趄	土󰁾󰀐一
醋	西一󰁺日
碓	石亻󰁷󰀝
铘	钅󰀂亅阝
墓	艹日大土
梓	木辛󰀢
扉	丶尸丨三
槔	木白大十
委	禾女󰀘
珧	王儿󰀪󰁶
蛸	虫⺌月󰀝
斗	󰁦十󰀵
蔻	艹宀二又
纹	纟文󰁶
酶	西一𠂉母
砺	石厂一󰁡
姜	丷王女󰀘
仡	亻𠂉乙󰁀
绡	纟⺌月󰀝
满	氵艹一人
垅	土ヒ丶
扃	丶尸冂口
旷	日广ノ
烂	火丷三󰀝
飨	󰁲丿人󰀖
闷	门心󰀦
磨	广木木石
裨	衤󰁧白十
规	二人ㄇ󰁜
畋	田夂󰁶
嘌	口覀二小
递	丷弓丨辶
擘	尸口立手
尤	乚丶󰀦
桓	木一日一
倒	亻一厶刂
觌	十乛󰁦󰁜
嗷	口主󰁡夂
谤	讠亠丷方
斧	八乂斤󰀬
琛	王冖八木
焓	火人丶口
脓	月冖󰀔󰁶
搛	扌䒑󰁬󰁗
箝	⺮扌艹二
螋	虫臼丨又
夜	亠亻夂丶
澡	氵口口木
羡	丷王冫人
蟠	虫丿米田
愿	厂白小心
儿	儿丿乚
趿	口止乃󰂃
睨	目臼儿󰁀
鄯	丷󰅆䒑阝
螨	虫艹一人
翩	丶尸冂羽
枨	木丿七󰂃
猃	犭ノ人一
范	艹氵⺋󰀅
磅	石亠丷方
吸	口乃󰂃󰁶
蒡	艹亠丷方
诽	讠丨三三
洄	氵囗口󰀝
牯	ノ扌古󰀝
铗	钅一丷大
猷	丷西一犬
牧	ノ扌夂󰁶
鲰	󰁢󰀞耳又
藓	艹󰁢󰀞󰀟
焰	火⺈臼󰀝
武	二止󰁒丶
弹	弓丷曰十
痞	疒丆卜口
避	尸口立辶
楔	木三丨大
奔	大十廾󰀬
幡	冂丨丿田
乡	󰁲丿󰀏
郄	乂厶阝
凶	乂凵󰀵
狃	犭ノ󰁈二
宠	宀ヒ丶
祜	礻󰁶古󰀝
映	日ㄇ大󰁶
饨	⺈󰁐一乚
汰	氵大丶󰁶
蔗	艹广廿灬
嘞	口廿口力
勰	力力力心
扩	扌广ノ
票	覀二小󰁧
物	ノ扌勹󰁤
蔑	艹罒厂丶
懋	木󰁻乛心
漉	氵广󰁃匕
资	冫⺈人贝
穷	宀八力󰁣
炒	火小丿ノ
悒	忄口巴󰁀
荷	艹亻丁口
核	木亠ㄥ人
虼	虫𠂉乙󰁀
竹	𠂉丨𠂉亅
砸	石匚冂丨
劾	亠ㄥ丿力
糠	米广󰁬氺
颜	立丿彡贝
搜	扌臼丨又
嚯	口󰀙亻󰁷
袜	衤󰁧一木
坠	阝人土󰀘
杠	木工󰀝
鸨	匕十勹一
蚯	虫󰅍一󰀝
肛	月工󰀝
鲔	󰁢󰀞月
蹙	戊上小󰁾
贰	弋二贝丶
髦	󰀍厶彡乚
陇	阝ヒ丶
烀	火丿丷󰀛
呸	口丆卜一
牲	ノ扌丿
梅	木𠂉母󰁶
粝	米厂一󰁡
扶	扌二人󰁶
牾	ノ扌五口
艾	艹乂󰁧
顸	干丆贝󰁶
找	扌戈󰁶
犋	ノ扌󰀣八
芋	艹一󰀛󰀬
羹	丷王灬大
边	力辶󰀏
埸	土日勹󰁤
澹	氵⺈厂言
峄	山又二丨
鞠	廿󰀜勹米
呼	口丿丷󰀛
糸	幺小󰁧
濡	氵󰀙丆〢
盯	目丁󰀢
捃	扌󰁬丿口
瞠	目⺌冖土
謦	士󰁅几言
茉	艹一木󰁧
信	亻言󰀝
雯	󰀙文󰁧
铷	钅女口󰀝
琉	王亠厶󰀸
键	钅󰁬󰀟廴
榇	木立木󰁶
荃	艹人王󰀘
僧	亻丷󰀺日
绰	纟󰀥早󰀢
烧	火弋丿儿
违	二𠃌丨辶
郧	口贝阝󰀢
脑	月文凵
泄	氵廿󰄃󰁀
滴	氵亠丷古
蓣	艹󰁻乛贝
怒	女又心󰁧
婀	女阝丁口
姗	女󰀼󰀼一
蛑	虫厶󰅎丨
斌	文二止丶
码	石󰀊一󰀝
黹	󰅊一丷󰅏
耿	耳火󰁶
瓮	八厶一丶
吃	口𠂉乙󰁀
笮	⺮𠂉丨二
尔	⺈小󰁧
咒	口口几󰀅
笺	⺮戋󰁣
谔	讠口口ㄅ
唏	口乂丨
气	󰅎⺄󰀅
伞	人
斜	人
蘑	艹广木石
牡	ノ扌土󰀝
逯	󰁭氺辶󰀦
骢	󰀊󰀞丿心
桁	木彳一丁
梨	禾刂木󰁧
墨	󰀹土灬土
耀	⺌一儿󰁷
球	王一氺丶
萃	艹亠人十
臧	厂󰄃丆丶
乐	丿󰄃小󰀦
谄	讠⺈臼󰀝
射	丿󰀽三寸
晃	日⺌一儿
馅	⺈󰁐⺈臼
祚	礻󰁶𠂉二
荼	艹人一木
枷	木力口󰀝
涝	氵艹冖力
酆	山三丨阝
访	讠方ノ
邛	工阝󰀢
獬	犭ノ⺈󰀟
罡	罒一止󰀘
景	曰󰁸小󰁧
癯	疒目目󰁷
烛	火虫󰁶
鹨	羽人彡一
郛	爫孑阝󰀢
胛	月甲󰀢
走	土󰁾󰁧
陷	阝⺈臼󰀝
晷	日夂卜口
兆	儿󰀪󰀦
栳	木土丿匕
悱	忄丨三三
唪	口三人󰀟
驺	󰀊󰀞⺈彐
叻	口力ノ
凫	勹丶ㄅ几
务	夂力󰁣
驸	󰀊󰀞亻寸
聿	󰁬󰀟󰀵
勋	口贝力ノ
苋	艹ㄇ󰁜󰀅
柝	木斤丶󰁶
龌	止人凵土
蜍	虫人一木
羌	䒑二󰁜󰀅
侔	亻厶󰅎丨
劓	丿目田刂
抓	扌⺁丨󰂃
柚	木由󰀝
特	ノ扌土寸
夸	大二ㄅ󰀅
妤	女󰁻乛亅
掳	扌󰅋七力
枰	木一丷十
濒	氵止󰀤贝
压	厂土丶󰀦
殄	一夕人彡
王	王王王王
蜊	虫禾刂󰀢
搓	扌䒑󰀠工
潋	氵人一夂
圊	囗主月󰀌
薷	艹󰀙丆〢
杜	木土󰀝
冧	冖木木󰁧
喷	口十艹贝
丰	三丨󰀵
希	乂冂丨
翡	三〢三羽
璃	王文凵厶
逮	󰁬氺辶󰀦
笨	⺮木一󰀘
羔	丷王灬󰁧
醯	西一亠皿
滔	氵爫臼󰀝
翌	羽立󰀘
裤	衤󰁧广车
船	丿󰁪几口
啛	口一󰁬女
街	彳土土丁
打	扌丁󰀢
忌	己心󰁧
懿	士冖一心
暝	日冖曰六
柰	木二小󰁧
凿	󰅊一䒑凵
辱	厂二󰀖寸
烯	火乂丨
裸	衤󰁧日木
谖	讠爫一又
凯	山󰁁几󰁀
仝	人工󰀘
圜	囗罒一󰀔
槠	木讠土日
垓	土亠ㄥ人
非	三〢三
劭	刀口力ノ
犭	犭ノ丿丿
镛	钅广󰁬丨
返	⺁又辶󰀦
畛	田人彡ノ
敛	人一󰀧夂
绝	纟⺈巴󰁀
蜜	宀心丿虫
霜	󰀙木目󰀘
諨	言一口田
耩	三󰅇󰀀土
虢	爫寸󰅋几
褐	衤󰁧日󰄃
舫	丿󰁪方ノ
鼐	乃目󰁕󰁈
庙	广由󰀌
崴	山厂一丶
惕	忄日勹󰁤
频	止󰀤丆贝
笾	⺮力辶󰁧
揾	扌曰皿󰀝
薛	艹亻󰁃十
搋	扌⺁󰅋几
缌	纟田心󰁶
饬	⺈󰁐𠂉力
衤	衤󰁧丶丶
腻	月弋二丶
锷	钅口口ㄅ
萋	艹一󰁬女
埕	土口王󰀝
许	讠𠂉十󰀢
猿	犭ノ土󰀔
蔷	艹十䒑口
宸	宀厂二󰀖
颠	十󰀣八贝
助	󰀐󰀞力ノ
馨	士󰁅几日
茯	艹亻犬󰁧
瘛	疒三丨心
袤	亠󰁻乛󰀔
嘛	口广木木
演	氵宀一八
缔	纟亠丷丨
男	田力󰁣
苓	艹人丶󰁻
矜	󰁻乛亅乛
拓	扌石󰀝
恐	工几丶心
颦	止󰀤丆十
纲	纟冂乂󰁶
舁	臼廾󰀬
奸	女干󰀢
楸	木禾火󰁶
祸	礻󰁶口人
友	又󰁧
酿	西一丶󰀖
蛄	虫古󰀝
黝	󰀹土灬力
魄	白白󰁜厶
翔	䒑󰀠羽󰀝
鹰	广亻亻一
蹈	口止爫臼
果	日木󰀦
照	日刀口灬
啷	口丶彐阝
敷	一󰀐丨夂
铃	钅人丶󰁻
买	乛󰁦大󰁧
腧	月人一刂
醭	西一󰅊人
东	󰀂小󰀦
废	广ㄥ丿丶
酯	西一匕日
罔	冂䒑亠󰄃
骂	口口󰀊一
力	力𠃌丿
抛	扌九力ノ
坜	土厂力ノ
羝	䒑󰀠󰁚丶
冯	冫󰀊一󰀝
稀	禾乂丨
兑	丷口儿󰀅
二	二一一
啫	口土丿日
咋	口𠂉丨二
檄	木白方夂
莓	艹𠂉母󰁧
叙	人一木又
霰	󰀙󰁺月夂
轱	车古󰀝
炯	火冂口󰀝
傧	亻宀󰅍八
邯	艹二阝󰀢
肯	止月󰀘
窄	宀八𠂉二
蒋	艹丬夕寸
钋	钅卜󰁶
便	亻一日乂
飘	覀二小乂
抬	扌厶口󰀝
铅	钅几口󰀝
假	亻󰁃丨又
疃	田立日土
麝	广󰁃〢寸
喃	口十冂十
癜	疒尸󰁺又
仔	亻子󰀝
飚	几乂火火
窈	宀八ㄠ力
餍	厂大丶󰀖
殴	匚乂几又
仑	人匕󰀅
墼	車凵几土
叼	口𠃌󰀞󰀝
滹	氵󰅋七󰀛
裰	衤󰁧又又
秸	禾士口󰀝
散	󰁺月夂󰁶
绌	纟凵山󰀢
莪	艹丿扌丶
声	士󰁅󰁣
棰	木ノ一士
拧	扌宀丁󰀢
郯	火火阝󰀢
距	口止匚󰁃
阜	亻󰁃󰁃十
毫	󰁸冖ノ
氖	󰅎⺄乃󰁣
呕	口匚乂󰁶
枢	木匚乂󰁶
胧	月ヒ丶
砜	石几乂󰁶
鹧	广廿灬一
黔	󰀹土灬乛
侩	亻人二厶
绔	纟大二ㄅ
蕃	艹丿米田
川	川丿丨丨
挛	亠󰁗手󰀬
稔	禾人丶心
昃	日厂人󰁧
瘃	疒一󰀓丶
藁	艹󰁸冂木
阃	门囗木󰀦
茛	艹彐󰀖󰁧
腓	月丨三三
忱	忄冖󰁜󰁀
渌	氵󰁭氺󰁶
瞰	目乛耳夂
踌	口止三寸
笈	⺮乃󰂃󰁧
耷	大耳󰀘
垭	土一󰅊一
丌	一󰀯󰀵
伝	亻二厶󰁶
晦	日𠂉母󰁶
曜	日羽亻󰁷
级	纟乃󰂃󰁶
锋	钅夂三丨
遽	󰅋七一辶
邝	广阝󰀢
眺	目儿󰀪󰁶
彻	彳七刀ノ
貔	豸丿囗匕
忤	忄𠂉十󰀢
豫	󰁻乛亅󰀓
耧	三󰅇米女
缝	纟夂三辶
舯	丿󰁪口丨
窨	宀八立日
飓	几乂󰀣八
蹴	口止亠丶
燕	廿口丬灬
招	扌刀口󰀝
猸	犭󰁥󰁅目
苛	艹丁口󰀘
勃	十冖孑力
鼹	臼󰁐󰁦女
穸	宀八夕󰁧
缱	纟口丨辶
橄	木乛耳夂
哋	口土也󰁀
鹌	大日󰁐一
菓	艹曰木󰁧
偿	亻⺌冖厶
恿	󰁻用心󰁧
息	丿目心󰁧
灯	火丁󰀢
表	主󰀔󰁧
九	九丿󰁊
脎	月乂木󰁶
彳	彳丿丿丨
初	衤󰁧刀ノ
铋	钅心丿ノ
彬	木木彡ノ
彡	彡丿丿丿
庶	广廿灬󰀦
鹿	广󰁃〢匕
障	阝立早󰀢
痃	疒亠ㄠ󰀦
祠	礻󰁶𠃌口
蚜	虫󰀂亅丿
吗	口󰀊一󰀝
鸥	匚乂勹一
灰	火󰁧
舅	臼田力󰁣
镨	钅䒑󰅊日
恰	忄人一口
君	󰁬丿口󰀌
麻	广木木󰀦
獾	犭ノ艹󰁷
殿	尸󰁺八又
垛	土几木󰁶
贩	贝⺁又󰁶
斋	文丆冂〢
疋	乛󰁾󰀦
嚷	口亠口󰀔
葛	艹日勹󰄃
镜	钅立日儿
吒	口丿七󰁀
畜	亠ㄠ田󰀘
控	扌宀八工
仄	厂人󰀦
寿	三丿寸󰁧
斛	⺈用󰁦十
幅	冂丨一田
盼	目八刀ノ
庹	广廿尸󰂃
酗	西一乂凵
羧	䒑󰀠厶夂
娠	女厂二󰀖
玑	王几󰁀
燹	一󰀓一火
颓	禾几丆贝
裱	衤󰁧主󰀔
谀	讠臼人󰁶
癃	疒阝夂主
焊	火日干󰀢
淄	氵巛田󰀝
奋	大田󰀘
棱	木土八夂
帐	冂丨丿󰂃
厨	厂一口寸
谲	讠󰁻乛口
猛	犭ノ子皿
轹	车丿󰄃小
睛	目主月󰀝
诩	讠羽󰀝
铒	钅耳󰀝
推	扌亻󰁷󰀝
瓒	王丿土贝
除	阝人一木
哒	口大辶󰁶
擒	扌人亠厶
眸	目厶󰅎丨
役	彳几又󰁶
宿	宀亻丆日
诠	讠人王󰀝
觥	⺈用⺌儿
浠	氵
举	󰅗八二
阡	阝丿十󰀢
札	木乚󰁀
豚	月豕󰁶
涩	氵刀丶止
栈	木戋󰁥
养	丷󰂃󰀯
蜃	厂二󰀖虫
件	亻
凭	亻
俄	亻
链	钅车辶󰁶
铨	钅人王󰀝
余	人
崔	山亻󰁷󰀘
恚	土土心󰁧
岩	山石󰀘
凰	几白王󰀌
榱	木亠口󰀔
阋	门臼儿󰁫
洌	氵一夕刂
钒	钅几丶󰁶
窠	宀八日木
渝	氵人一刂
撒	扌󰁺月夂
踝	口止日木
线	纟戋
浅	氵戋󰁥
盏	戋皿󰀘
蠛	虫艹罒丶
熹	士口䒑灬
畚	厶大田󰀘
驶	马口乂
饯	⺈󰁐戋
残	一夕戋
讥	讠几󰁀
嗜	口土丿日
丝	󰁲󰁲一󰀘
讽	讠几乂
抗	扌亠几󰁀
迈	丆𠃌辶
藏	艹厂󰁏ノ
锾	钅爫一又
锨	钅斤⺈人
甾	巛田󰀘
韵	立日勹冫
浩	氵丿土口
嵩	山󰁸冂口
浔	氵彐寸󰁶
用	用丿𠃌丨
髫	󰂞彡刀口
旋	方𠂉乛󰁾
贺	力口贝
卤	󰀥囗
荧	艹冖火󰁧
车	车一ㄥ丨
捧	扌三人
凤	几又
赔	贝立口󰀝
矛	󰁻乛亅丿
匿	匚艹口
蓄	艹亠ㄠ田
城	土厂
冈	冂乂
姿	冫⺈人女
嗽	口一口人
捕	扌一月丶
卧	匚丨󰁃卜
兵	󰅍一八󰁧
润	氵门王󰀝
肤	月二人󰁶
蔽	艹丷冂夂
胲	月亠ㄥ人
螃	虫亠丷方
垃	土立󰀝
毯	丿二乚火
撖	扌乛耳夂
咛	口宀丁󰀢
箅	⺮田一󰀯
失	󰅎人󰀦
皋	白大十󰀬
蚋	虫冂人󰁶
沌	氵一凵乚
酰	西一丿儿
慰	尸二小心
窿	宀八阝主
讦	讠干󰀢
媒	女艹二木
貌	豸白儿󰁀
敞	⺌冂口夂
葜	艹三丨大
瑜	王人一刂
犯	犭ノ⺋󰁀
呜	口勹ㄅ一
殊	一夕󰅎󰅇
芯	艹心󰁧
虑	󰅋七心󰀦
钛	钅大丶󰁶
澜	氵门一󰅇
宾	宀󰅍一八
降	阝夂󰀂丨
入	丿󰂃󰀦
眞	匕目󰄃八
睃	目厶八夂
鹉	一󰀁止一
壶	士冖󰅊一
限	阝彐󰀖󰁶
瘭	疒覀二小
权	木又󰁶
钨	钅勹ㄅ一
泔	氵艹二󰀝
璨	王󰀥夕米
泠	氵人丶󰁻
咨	冫⺈人口
话	讠丿古󰀝
铧	钅亻ヒ十
糌	米夂卜日
泌	氵心丿ノ
鳌	主󰁡夂一
诂	讠古󰀝
琪	王艹三八
埠	土亻󰁃十
拯	扌了󰀩一
狯	犭ノ人厶
爝	火爫罒寸
姨	女一弓人
氮	󰅎⺄火火
某	艹二木󰁧
苯	艹木一󰀘
珥	王耳󰀝
诧	讠宀丿七
琅	王丶彐󰀖
屙	尸阝丁口
潍	氵纟亻󰁷
邱	󰅍󰀞阝󰀢
束	一口󰅇󰀦
整	一口󰅇止
煤	火艹二木
骱	󰀾月人󰀯
唛	口主夂󰁶
鹗	口口二一
赚	贝䒑󰁬󰁗
看	目󰀘
拳	䒑大手󰀬
狰	犭ノ⺈亅
朋	月月󰀝
恂	忄勹日󰀝
