偎	亻田一フノㄟ
谅	讠亠口小
黎	禾勹ノ人氺
揄	扌人一月刂
稻	禾ノ⺍臼
铘	钅牙阝
纪	纟己
稽	禾尤匕日
革	廿丨フ一一丨
菌	艹囗禾
易	日勿
溪	氵ノ⺍幺大
坩	土甘
筜	彐
污	氵亏
吠	口犬
蔽	艹丶ノ丨フ丨ノ丶攵
肃	フ一一丨ノ丨ノ丶
邃	辶宀八丷豕
悃	忄囗木
象	丨フ一ノフノノノㄟ
镑	钅亠丷冖方
孔	子フ
构	木勹厶
钹	钅又丶
镐	钅亠口冂口
桡	木一フノ兀
镎	钅人一口手
镍	钅自木
厌	厂犬
掌	冖口手
镋	钅冖口儿
镉	钅一口冂丷一丨
处	夂卜
镆	钅艹日大
翚	习习冖车
骸	骨亠フノ人
乐	ノフ丨ノ丶
嶝	山フ丶ノノㄟ一口丷一
罪	罒非
轪	车大
彪	虍几ノノノ
嶓	山ノ米田
穷	宀八力
幞	巾业ㄟ
骜	フノ攵马
燃	火ノフ丶丶犬灬
窜	宀八串
贡	工冂人
噔	口フ丶ノノㄟ一口丷一
洺	氵夕口
噀	口巳巳艹一八
噌	口丷囗日
躅	罒勹虫
噙	口人亠乂凵丨フフ丶
铹	钅艹冖力
附	阝亻寸
噍	口亻亠灬
笱	勹口
惋	忄宀夕フフ
印	ノフ一卩
骍	马立十
嘿	口黑
窍	宀八工一フ
颚	口口亏一ノ冂人
底	广氐
井	一一ノ丨
癔	疒立日心
晔	日亻匕十
陔	阝亠フノ人
虔	虍文
蛩	工凡虫
缪	纟习习人ノノノ
剌	束刂
蝼	虫米女
伪	亻为
蝓	虫人一月刂
螋	虫ノ丨一フ一一丨又
疠	疒万
嘹	口大丶ノ日小
斑	王文王
蝎	虫日勹人フ
蝰	虫大土土
淡	氵火火
巡	辶フフフ
阄	门丨フ一一フ
牛	ノ一一丨
扛	扌工
嫔	女宀丘八
儋	亻厂八亠一一口
淅	氵木斤
现	王冂见下
掰	八刀手
蝾	虫艹冖木
诱	讠禾乃
蝶	虫世木
吩	口八刀
昔	艹一日
戌	戊一
种	禾中
舌	千口
蹼	业ㄟ
祾	礻土八夂
踪	宀二小
幼	幺力
眇	目少
踣	立口
绉	纟彐
踩	ノ⺍木
踬	ノノ十冂人
元	二儿
踟	矢口
踏	水日
踢	日勿
踝	果
馏	饣ノフ丶刀田
影	日亠口小ノノノ
缅	纟面
恋	亠丨丨ノ丶心
亡	亠フ
因	囗大
虹	虫工
纡	纟于
雄	厶亻亠
聋	龙耳
暹	辶日亻亠
拌	扌半
宪	宀儿
苌	艹长
粱	氵刀ノ丶米
蓰	艹彳止丨一人
铰	钅亠八乂
讪	讠山
嘲	口十日十月
噶	口艹日勹人フ
庼	广比左一ノ冂人
嘶	口其上八斤
噎	口士冖一口丷一
嘭	口士口丷一ノノノ
嘻	口士口丷一口
猞	犭人干口
幺	フ厶
方	丶万
赡	冂人厂八亠一一口
斝	口口冖丶丶十
浡	氵十冖子
唠	口艹冖力
瞌	目土厶皿
祆	礻天
的	白勺
肋	月力
鹅	我鸟
龊	止人凵口丨一人
筱	亻丨攵
久	ノフㄟ
疹	疒人ノノノ
暄	日宀一日一
龉	止人凵五口
厩	厂即左一フノフ
杂	九朩
霈	雨氵一丨フ丨
莩	艹ノ⺍子
幕	艹日大巾
汪	氵王
玩	王二儿
痣	疒士心
隔	阝一口冂丷一丨
霄	雨月
综	纟宀二小
震	雨厂二フノㄟ
酃	雨口口口阝
淝	氵月巴
碾	石尸艹一フノㄟ
玛	王马
莛	艹壬廴
役	彳几又
磅	石亠丷冖方
眸	目厶牛
磙	石亠八厶𧘇
霸	雨革月
榔	木丶即左阝
磊	石石石
帡	巾丷开
磕	石土厶皿
餍	厂犬人良
抃	扌卞
鸡	又鸟
渡	氵广廿又
靥	厂犬面
掷	扌丷天阝
沙	氵少
醇	酉亠口子
醌	酉日比左匕
橡	木丨フ一ノフノノノㄟ
鹋	艹田鸟
鹝	一口冂丷一丨鸟
疑	匕矢フ丨一人
憋	丶ノ丨フ丨ノ丶攵心
樟	木立日十
趄	土丨一人且
醋	酉艹一日
碓	石亻亠
琥	王虍几
获	艹犭犬
梓	木立十
樱	木冂人冂人女
庹	广廿尺
委	禾女
樘	木冖口土
蛸	虫月
樗	木雨亏
槭	木戊上小
荛	艹一フノ兀
樯	木十丷一囗口
横	木艹一由八
姜	女
仡	亻乞
绡	纟月
满	氵艹两
槿	木廿丨フ一一一丨一
扃	户冂口
旷	日广
庳	广ノ丨フ一一ノ十
飨	乡人良
闷	门心
磨	广木木石
裨	衤ノ丨フ一一ノ十
规	夫冂见下
畋	田攵
蔬	艹フ止亠厶ノ丨フ
递	辶丷フ一フ丨ノ
婿	女フ丨一人月
蕰	艹氵日皿
怒	女又心
倒	亻一厶土刂
耒	丰ノㄟ
嗷	口フノ攵
蕲	艹丷丨フ一一一丨斤
蕃	艹ノ米田
琛	王冖八木
焓	火人丶フ口
脓	月农
搛	扌丷一フ一一丨丨ノㄟ
娱	女口天
蕉	艹亻亠灬
御	彳午一丨一卩
柠	木宀丁
羡	冫人
蟠	虫ノ米田
愿	厂白小心
儿	ノフ
蕞	艹日耳又
贵	中一冂人
鄯	羊丷一口阝
脯	月甫
焯	火丨一日十
枨	木长
猃	犭人一⺍一
范	艹氵フフ
蕨	艹厂丷一フ丨ノ人
怫	忄弗
喘	口山而
蕙	艹一丨フ一一丨一丶心
洄	氵囗口
陋	阝丙フ
鞋	革土土
俩	亻两
聪	耳丷口心
鲰	鱼耳又
撰	扌巳巳艹一八
举	⺍一八一一丨
撺	扌宀八串
弹	弓丷丨フ一一一丨
增	土丷囗日
撙	扌丷酉寸
凋	冫冂土口
叛	半ノノ又
幡	巾ノ米田
乡	フフノ
撞	扌立里
擒	扌人亠乂凵丨フフ丶
狃	犭丑
拃	扌乍
勃	十冖子力
映	日央
饨	饣屯
捷	扌一フ一一丨一人
墦	土ノ米田
播	扌ノ米田
赭	土ノ丨ノ丶耂日
撬	扌毛毛毛
票	西二小
撮	扌日耳又
撑	扌冖口手
懋	木フ丨ノ木心
撩	扌大丶ノ日小
资	冫人冂人
撒	扌艹一月攵
炒	火少
悒	忄口巴
荷	艹亻丁口
核	木亠フノ人
撕	扌其上八斤
煜	火日立
砸	石匚巾
髫	一丨一二厶ノノノ刀口
髯	一丨一二厶ノノノ冉
靠	口非
奭	大百百
碜	石厶大ノノノ
袜	衤末
坠	阝人土
杠	木工
鸨	匕十鸟
蚯	虫丘
肛	月工
邛	工阝
璋	王立日十
贰	弋二冂人
散	艹一月攵
璀	王山亻亠
璜	王艹一由八
瑾	王廿丨フ一一一丨一
锵	钅冫丨夕寸
缇	纟日一丨一人
慧	丰丰彐心
缫	纟フフフ果
缩	纟宀亻百
骢	马ノ囗夂心
顸	干一ノ冂人
沄	氵二厶
犋	牛具上八
芋	艹于
矸	石干
边	辶力
埸	土日勿
瑛	王艹央
峄	山又一一丨
呛	口人フフ
缨	纟冂人冂人女
骡	马田幺小
濡	氵雨而
盯	目丁
捃	扌尹口
千	ノ十
缦	纟日罒又
缥	纟西二小
信	亻亠一一口
雯	雨文
铷	钅女口
骠	马西二小
瞀	フ丨ノ攵目
熊	厶月匕匕灬
保	亻口木
忝	天
瓷	冫人瓦
烧	火一フノ兀
胧	月龙
郧	口冂人阝
翠	习习亠人人十
泄	氵世
阊	门日日
鼐	乃目フ一ノ丨一丨フ
嫪	女习习人ノノノ
嫡	女亠丷冂十口
嫜	女立日十
嫘	女田幺小
嫚	女日罒又
嫦	女冖口巾
黹	业丶ノ丨フ丨ノ丶
耿	耳火
绹	纟勹缶
吃	口乞
嫖	女西二小
尔	小
嫩	女束攵
嫱	女十丷一囗口
谔	讠口口亏
嫣	女正一フ灬
气	ノ一一フ
隧	阝丷豕辶
鹛	フ丨一ノ目鸟
暨	即左一フノフ日一
谲	讠フ丨ノ冂八口
逯	辶彐氺
谱	讠丷亚日
谰	讠门柬
梨	禾刂木
墨	黑土
禚	礻灬
球	王求
萃	艹亠人人十
褪	衤艮辶
谥	讠丷一八皿
谄	讠臼
射	身寸
褛	衤米女
褓	衤亻口木
褐	衤日勹人フ
褙	衤丨一一匕月
褡	衤艹人一口
谮	讠一フノフ一フノフ日
官	宀㠯
忡	忄中
谭	讠西日十
寥	宀习习人ノノノ
眠	目民
景	日亠口小
癯	疒目目亻亠
烛	火虫
汔	氵乞
郛	ノ⺍子阝
胛	月甲
走	土丨一人
陷	阝臼
晷	日夂卜口
姿	冫人女
察	宀ノフ丶丶二小
窭	宀八米女
锽	钅白王
窬	宀八人一月刂
寡	宀一ノ且八刀
搴	宀一一丨丨一八手
赛	宀一一丨丨一八冂人
崴	山戌女
慵	忄广フ一一丨フ一一丨
勋	口冂人力
苋	艹冂见下
慷	忄广フ一一丨冫ノㄟ
龌	止人凵尸一厶土
潍	氵纟亻亠
羌	フ
侔	亻厶牛
劓	自田一ノ丨刂
抓	扌爪
塾	亠口子丸土
漩	氵方ノ一フ丨一人
夸	大亏
滴	氵亠丷冂十口
漳	氵立日十
漉	氵广フ丨丨一比左匕
漪	氵犭大丁口
宄	宀九
殄	歹人ノノノ
王	一土
蜊	虫禾刂
眊	目毛
朊	156
冯	冫马
羝	氐
杜	木土
坜	土厂力
依	亻亠𧘇
丰	一一一丨
潴	氵犭耂日
潋	氵人一⺍一攵
璃	王亠乂凵丨フフ丶
漶	氵串心
笨	本
羔	灬
辔	纟车纟口
漯	氵田幺小
翌	习习立
漫	氵日罒又
滹	氵虍乎
漂	氵西二小
漱	氵束人
呃	口厂フフ
忌	己心
懿	士冖一口丷一冫人心
漤	氵木木女
柰	木二小
凿	业丷一十凵
辱	厂二フノㄟ寸
熥	火用辶
裸	衤果
煽	火户习习
凯	山己几
渭	氵田月
圜	囗罒一口𧘇
槠	木讠耂日
扯	扌止
歉	丷一フ一一丨丨ノㄟ人
娇	女夭ノ丨
爿	フ丨一ノ
镛	钅广フ一一丨フ一一丨
返	辶ノノ又
畛	田人ノノノ
敛	人一⺍一攵
绝	纟巴
蜜	宀必虫
霜	雨木目
鄞	廿丨フ一一一丨一阝
妲	女日一
旖	方ノ一大丁口
旗	方ノ一其上八
端	立山而
韶	立日刀口
竭	立日勹人フ
绵	纟白巾
瘙	疒叉虫
瘘	疒米女
彤	丹ノノノ
港	氵艹一八巳
瘦	疒ノ丨一フ一一丨又
搋	扌ノノ虍几
笄	开
茓	艹宀八
瘟	疒日皿
瘗	疒夹土
锷	钅口口亏
萋	艹一フ一一丨女
瘩	疒艹人一口
许	讠午
唷	口亠厶月
矜	フ丨ノ人丶フ
男	田力
锃	钅口王
课	讠果
馨	士フ丨一ノ几又禾日
茯	艹亻犬
缔	纟亠丷冖巾
蓁	艹寿上ㄟ禾
嘛	口广木木
演	氵宀一由八
豪	亠口冖豕
敲	亠口冂口丨一又
苓	艹人丶
塥	土一口冂丷一丨
拓	扌石
銮	亠丨丨ノ丶金
喜	士口丷一口
宾	宀丘八
夤	夕宀一由八
奸	女干
楸	木禾火
祸	礻口内
友	又
饸	饣人一口
刖	月刂
雒	夂口亻亠
魄	白鬼
觫	用束
鹰	广亻亻亠鸟
獐	犭立日十
果	丨フ一一一丨ノㄟ
照	日刀口灬
佝	亻勹口
敷	甫方攵
铃	钅人丶
买	フ丶丶大
腧	月人一月刂
申	丨フ一一丨
鲜	鱼羊
鲛	鱼亠八乂
酯	酉匕日
罔	冂丷一亡
鲚	鱼文ノ丨
力	フノ
抛	扌九力
鲙	鱼人二厶
鲔	鱼月
鲑	鱼土土
婉	女宀夕フフ
膀	月亠丷冖方
二	一一
膈	月一口冂丷一丨
地	土也
檄	木白方攵
莓	艹ノ一母
角	用
霰	雨艹一月攵
轱	车十口
炯	火冂口
悯	忄门文
邯	甘阝
肯	止月
窄	宀八乍
蒋	艹冫丨夕寸
骄	马夭ノ丨
艋	舟子皿
睾	ノ罒土丷干
魃	鬼又丶
鼻	自田一ノ丨
僧	亻丷囗日
疃	田立里
麝	广フ丨丨一比左匕身寸
喃	口十冂丷干
癜	疒尸艹一八几又
仔	亻子
僬	亻亻亠灬
僭	亻一フノフ一フノフ日
僚	亻大丶ノ日小
僳	亻西米
儆	亻艹勹口攵
舆	ノ丨一一车フ一一一八
毓	ノ一母亠厶ノ丨フ
郿	フ丨一ノ目阝
裰	衤又又又又
秸	禾士口
箓	彐氺
绌	纟出
箫	肃
声	士フ丨一ノ
棰	木垂
胯	月大亏
郯	火火阝
距	巨
阜	ノ㠯十
箢	宀夕フフ
管	宀㠯
箪	丷丨フ一一一丨
箩	罒夕
箅	田一ノ丨
镃	钅丷一幺幺
箬	艹口
陛	阝比左匕土
侩	亻人二厶
啃	口止月
滔	氵ノ⺍臼
川	ノ丨丨
挛	亠丨丨ノ丶手
猛	犭子皿
昃	日厂人
瘃	疒一ノフノノ丶ノㄟ
愧	忄鬼
阃	门囗木
茛	艹艮
箸	耂日
忱	忄丶フノフ
俱	亻具上八
刿	山夕刂
枰	木平
箧	匚夹
耷	大耳
箦	冂人
箐	月
熏	ノ一丨フ丶ノ一丨一一灬
稳	禾彐心
性	忄生
犒	牛亠口冂口
锋	钅夂丰
舞	ノ一一丨丨丨丨一夕一フ丨
镄	钅弗冂人
訄	九亠一一口
镂	钅米女
鄄	西土阝
该	讠亠フノ人
候	亻丨フ一矢
耧	耒米女
骨	丨フフ冖月
侬	亻农
窨	宀八立日
锻	钅ノ丨一一一几又
锹	钅禾火
嵚	山钅人
招	扌刀口
倻	亻耳阝
苛	艹丁口
封	土土寸
骶	骨氐
灿	火山
聿	フ一一一一丨
驸	马亻寸
弱	弓冫弓冫
鹌	大电鸟
骷	骨十口
偿	亻冖二厶
恿	用心
桨	冫丨夕木
恧	而心
表	𧘇
九	ノフ
赚	冂人丷一フ一一丨丨ノㄟ
穄	禾ノフ丶丶二小
赙	冂人甫寸
铋	钅必
幢	巾立里
嶂	山立日十
幔	巾日罒又
罱	罒十冂丷干
障	阝立日十
痃	疒亠幺
旃	方ノ一丹
蚜	虫牙
罴	罒土厶灬
嘧	口宀必山
灰	火
雾	雨夂力
镨	钅丷亚日
恰	忄人一口
嘚	口彳日一寸
嘤	口冂人冂人女
崩	山月月
殿	尸艹一八几又
垛	土几木
访	讠方
斋	文而
嘣	口山月月
鹗	口口亏鸟
嘡	口冖口土
搒	扌亠丷冖方
螂	虫丶即左阝
畜	亠幺田
控	扌宀八工
豆	一口丷一
吾	五口
鹇	门木鸟
振	扌厂二フノㄟ
蜱	虫ノ丨フ一一ノ十
蜴	虫日勿
蝈	虫囗玉
蜾	虫果
啜	口又又又又
堂	冖口土
蜥	虫木斤
蜡	虫艹一日
裱	衤𧘇
蜞	虫其上八
跄	人フフ
晃	日兀
淄	氵フフフ田
奋	大田
棱	木土八夂
蜻	虫月
掾	扌フフ豕
颍	匕水一ノ冂人
跽	己心
踉	良
睛	目月
诩	讠习习
铒	钅耳
推	扌亻亠
锜	钅大丁口
踌	寿上寸
靛	月宀一丨一人
沓	水日
暧	日ノ⺍冖又
嘎	口一自戈
甜	千口甘
诠	讠人王
嘁	口戊上小
嗽	口束人
岛	ノフ丶フ山
嘞	口革力
墅	里フ丨土
睽	目フ丶ノノㄟ天
瞍	目ノ丨一フ一一丨又
瞅	目禾火
夥	果夕夕
蜃	厂二フノㄟ虫
裳	冖口亠𧘇
纷	纟八刀
龈	止人凵艮
链	钅车辶
贿	冂人月
雌	止匕亻亠
崔	山亻亠
恚	土土心
哨	口月
沩	氵为
翡	非习习
阋	门臼儿
洌	氵歹刂
钒	钅凡
窠	宀八果
锓	钅彐冖又
泓	氵弓厶
茧	艹虫
蜚	非虫
辗	车尸艹一フノㄟ
势	扌丸力
厾	フ土厶
耖	耒少
殡	歹宀丘八
豨	豕乂巾
臧	戊フ一ノ臣
劂	厂丷一フ丨ノ人刂
碥	石户冂艹
帝	亠丷冖巾
丝	フフフフ一
碹	石宀一日一
磁	石丷一幺幺
耰	耒一ノ丨フ一一冖心夂
碴	石木日一
锾	钅ノ⺍一又
锨	钅斤人
甾	フフフ田
碶	石丰刀大
浩	氵口
嵩	山亠口冂口
浔	氵彐寸
用	冂一一丨
厮	厂其上八斤
旋	方ノ一フ丨一人
酸	酉厶八夂
酿	酉良
荧	艹冖火
酶	酉ノ一母
捧	扌寿上ㄟ一一丨
酷	酉口
赔	冂人立口
矛	フ丨ノ
酾	酉丽
非	丨一一一丨一一一
酵	酉耂子
僰	一丨フ丨ノㄟ一丨フ丨ノㄟ人
蒉	艹中一冂人
歌	丁口丁口人
榍	木尸月
卧	臣卜
畎	田犬
榨	木宀八乍
槟	木宀丘八
榜	木亠丷冖方
槁	木亠口冂口
螃	虫亠丷冖方
垃	土立
槔	木白大十
榭	木身寸
咛	口宀丁
槜	木亻亠乃
兰	丷三
皋	白大十
蚋	虫内
找	扌戈
酰	酉儿
艾	艹乂
岌	山及
榫	木亻亠十
塞	宀一一丨丨一八土
貌	豸白儿
鲌	鱼白
葜	艹丰刀大
笠	立
欠	人
呜	口乌
榧	木匚非
芯	艹心
群	尹口羊
钛	钅太
蓼	艹习习人ノノノ
叼	口刁
兢	十口儿十口儿
鹕	十口月鸟
蔚	艹尸二小寸
睃	目厶八夂
熙	匚丨口丨巳灬
匜	匚也
蓿	艹宀亻百
蕖	艹氵巨木
权	木又
钨	钅乌
驿	马又一一丨
哧	口土ノ丨ノ丶
泠	氵人丶
咨	冫人口
话	讠千口
铧	钅亻匕十
穿	宀八牙
泌	氵必
镓	钅宀豕
执	扌丸
蔺	艹门亻亠
蔟	艹方ノ一矢
拯	扌了フノㄟ一
通	辶用
蔡	艹ノフ丶丶二小
姨	女夷
嫫	女艹日大
蔑	艹罒戍
苯	艹本
蔓	艹日罒又
摹	艹日大手
跬	土土
慕	艹日大
靿	革幺力
涛	氵寿上寸
靽	革半
蔷	艹十丷一囗口
聚	耳又亻ノノノㄟ
且	丨フ一一一
唛	口夂
撖	扌フ耳攵
榖	士冖一木几又
看	目
摔	扌亠幺冫ノ丶十
狰	犭フ一一丨
朋	月月
恂	忄勹日
稔	禾人丶フ心
聂	耳又又
遂	辶丷豕
摘	扌亠丷冂十口
铜	钅冂一口
境	土立日儿
焌	火厶八夂
簌	束人
宠	宀龙
贝	冂人
瓜	ノノフ丶ㄟ
誓	扌斤亠一一口
锛	钅大十廾
踅	扌斤口丨一人
翥	耂日习习
截	十戈亻亠
赫	土ノ丨ノ丶土ノ丨ノ丶
摧	扌山亻亠
惕	忄日勿
摞	扌田幺小
撂	扌田夂口
恻	忄冂人刂
墟	土虍业
柃	木人丶
埃	土厶矢
摽	扌西二小
墙	土十丷一囗口
诿	讠禾女
鐾	尸口立十金
蛋	フ丨一人虫
妤	女フ丨
饱	饣勹巳
嫠	未攵厂女
焰	火臼
椭	木阝月
觏	一一丨丨一冉冂见下
熬	フノ攵灬
示	二小
豌	一口丷一宀夕フフ
尿	尸水
副	一口田刂
剧	尸十口刂
汝	氵女
良	丶艮
助	且力
铛	钅彐
瑶	王ノ⺍缶
碧	王白石
来	一丶ノ一丨ノㄟ
耥	耒冂口
剿	フフフ果刂
侄	亻一厶土
径	彳フ丶工
枋	木方
骟	马户习习
辄	车耳フ
龄	止人凵人丶
弩	女又弓
杨	木フノノ
完	宀二儿
艰	又艮
宝	宀玉
扰	扌尤
胂	月申
颃	亠几一ノ冂人
梃	木壬廴
烂	火丷三
缤	纟宀丘八
缣	纟丷一フ一一丨丨ノㄟ
缡	纟亠乂凵丨フフ丶
嗓	口又又又木
淤	氵方人丶丶
脚	月土厶卩
祛	礻土厶
蚓	虫弓丨
骝	马ノフ丶刀田
缝	纟夂丰辶
缛	纟厂二フノㄟ寸
缚	纟甫寸
显	日业
瘾	疒阝彐心
叠	又又又冖且
就	亠口小尤
颁	八刀一ノ冂人
嫌	女丷一フ一一丨丨ノㄟ
巩	工凡
收	フ丨攵
嫒	女ノ⺍冖又
媲	女ノ囗乂比左匕
媳	女自心
薨	艹罒冖歹匕
珧	王儿冫ノ丶
茜	艹西
晓	日一フノ兀
犰	犭九
媾	女一一丨丨一冉
怂	人人心
适	辶千口
淠	氵田一ノ丨
辟	尸口立十
榛	木寿上ㄟ禾
谬	讠习习人ノノノ
谪	讠亠丷冂十口
诌	讠彐
号	口一フ
溱	氵寿上ㄟ禾
福	礻一口田
诰	讠口
禊	礻丰刀大
裾	衤尸十口
褚	衤耂日
评	讠平
褂	衤土土卜
捋	扌ノ⺍寸
涿	氵一ノフノノ丶ノㄟ
栋	木东
缄	纟戌口
枸	木勹口
垸	土宀二儿
谨	讠廿丨フ一一一丨一
寝	宀冫丨彐冖又
聊	耳ノフノ卩
亩	亠田
唧	口即左卩
晗	日人丶フ口
窦	宀八十フ丶丶大
铅	钅几口
锧	钅ノノ十冂人
菜	艹ノ⺍木
寞	宀艹日大
骞	宀一一丨丨一八马
槛	木丨丨ノ一丶皿
鲎	⺍冖鱼
誉	⺍一八亠一一口
慊	忄丷一フ一一丨丨ノㄟ
慥	忄口辶
慎	忄十具上八
揪	扌禾火
愫	忄幺小
滩	氵又亻亠
溺	氵弓冫弓冫
蜓	虫壬廴
霓	雨臼儿
溟	氵冖日亠八
喾	⺍冖口
牌	片ノ丨フ一一ノ十
疾	疒矢
埋	土里
眨	目乏
罄	士フ丨一ノ几又缶
滨	氵宀丘八
佩	亻几一巾
蟋	虫ノ米心
木	十ノㄟ
在	丨土
舰	舟冂见下
爰	ノ⺍一又
橱	木厂一口丷一寸
孝	耂子
邂	辶用刀牛
溏	氵广フ一一丨口
莜	艹亻丨攵
镧	钅门柬
牚	冂口牙
艚	舟一丨フ一丨丨一日
滃	氵八厶习习
溴	氵自犬
滫	氵亻丨夂月
滗	氵毛
溦	氵彳山一几攵
筌	人王
溷	氵囗豕
裟	氵少亠𧘇
滥	氵丨丨ノ一丶皿
滤	氵虍心
源	氵厂白小
溧	氵西木
溥	氵甫寸
漠	氵艹日大
烊	火羊
袋	亻弋亠𧘇
郊	亠八乂阝
思	田心
誊	亠一一口
垓	土亠フノ人
庄	广土
惊	忄亠口小
溘	氵土厶皿
钧	钅勹冫
妃	女己
素	幺小
氩	气亚
咧	口歹刂
谩	讠日罒又
滟	氵丰巴
躔	广里八土
煊	火宀一日一
戚	戊上小
刚	冂乂刂
煨	火田一フノㄟ
撷	扌士口一ノ冂人
煤	火甘木
竟	立日儿
唾	口垂
验	马人一⺍一
钷	钅匚口
塑	丷一フ丨ノ月土
猷	丷酉犬
数	米女攵
孜	子攵
粳	米更
组	纟且
怊	忄刀口
蚨	虫夫
姝	女朱
滠	氵耳又又
绠	纟更
钾	钅甲
黠	黑士口
羧	厶八夂
阘	门日习习
脂	月匕日
祃	礻马
雍	亠乡亻亠
旒	方ノ一亠厶ノ丨フ
掼	扌フフノ一冂人
事	一丨フ一フ一一丨
歆	立日人
新	立朩斤
峰	山夂丰
泰	寿上ㄟ氺
靖	立月
裔	亠𧘇冂八口
麂	广フ丨丨一比左匕几
捡	扌人一⺍一
瘆	疒厶大ノノノ
杓	木勺
沿	氵几口
岿	山丨ノ彐
狷	犭口月
苷	艹甘
瘁	疒亠人人十
瘐	疒臾
酊	酉丁
痿	疒禾女
闾	门口口
腊	月艹一日
晳	156
椋	木亠口小
舄	臼勹灬
痼	疒囗十口
萧	艹肃
叨	口刀
啰	口罒夕
亶	亠囗口日一
让	讠上
禀	亠囗口二小
拜	一丰
帔	巾フノ丨又
鹑	亠口子鸟
酱	冫丨夕酉
踔	丨一日十
馍	饣艹日大
宰	宀立十
馌	饣土厶皿
煞	彐攵灬
解	用刀牛
遒	辶丷酉
记	讠己
屿	山与
触	用虫
娌	女里
恒	忄一日一
觥	用兀
聒	耳千口
蹄	亠丷冖巾
炊	火人
鹐	臼鸟
鹄	口鸟
猿	犭土口𧘇
肄	匕矢聿
棋	木其上八
幄	巾尸一厶土
膂	方ノ一ノフノㄟ月
秃	禾几
吨	口屯
芜	艹无
四	囗儿
乔	夭ノ丨
盛	成皿
萨	艹阝产
鲋	鱼亻寸
蛛	虫朱
稣	鱼禾
硭	石艹亡
鲉	鱼由
鲇	鱼丨一口
詹	厂八亠一一口
呷	口甲
腿	月艮辶
腾	月马
媵	月女
染	氵九木
腹	月ノ一日夂
绩	纟冂人
嗾	口方ノ一矢
腥	月日生
垧	土ノ冂口
郑	丷天阝
腽	月日皿
腼	月面
栒	木勹日
腰	月西女
讷	讠内
砒	石比左匕
腩	月十冂丷干
舂	寿上ㄟ臼
腻	月弋二冂人
建	廴聿
枯	木十口
垯	土大辶
赋	冂人一弋止
霹	雨尸口立十
相	木目
貅	豸亻木
囫	囗勿
绪	纟耂日
脸	月人一⺍一
毹	人一月刂毛
觎	人一月刂冂见下
巷	艹一八巳
筛	丨ノ一巾
挚	扌丸手
孛	十冖子
微	彳山一几攵
衙	彳五口亍
冽	冫歹刂
敫	白方攵
茚	艹ノフ一卩
忠	中心
旧	丨日
飒	立几乂
释	ノ米又一一丨
拂	扌弗
窃	宀八七刀
筷	忄夬guài
莶	艹人一⺍一
魁	鬼丶丶十
鹎	ノ丨フ一一ノ十鸟
躲	身几木
像	亻丨フ一ノフノノノㄟ
坯	土丕
杯	木不
娘	女良
煲	亻口木火
督	上小又目
煦	日勹口灬
舅	臼田力
毁	臼工几又
驺	马彐
筼	口冂人
筻	更
羿	习习廾
殷	ノノ彐フ几又
筢	扌巴
筠	土勹冫
筹	寿上寸
廿	艹一
颓	禾几一ノ冂人
宛	宀夕フフ
殛	歹了口又一
秋	禾火
稠	禾冂土口
庠	广羊
觋	工人人冂见下
纠	纟フ丨
溠	氵工
釜	八乂干丷一
墒	土亠丷冂八口
稗	禾ノ丨フ一一ノ十
辨	立丶ノ立十
椐	木尸十口
节	艹卩
轺	车刀口
歃	千臼人
始	女厶口
辞	千口立十
溅	氵冂人戋
硷	156
愉	忄人一月刂
键	钅聿廴
缸	缶工
锬	钅火火
锫	钅立口
锪	钅勿心
诛	讠朱
玚	王フノノ
锦	钅白巾
圹	土广
锤	钅垂
锣	钅罒夕
毛	ノ一一フ
厚	厂日子
习	フ冫
农	丶フノフノㄟ
扊	户火火
捂	扌五口
膜	月艹日大
茶	艹人朩
杧	木亡
祝	礻口儿
迨	辶厶口
壬	千一
竦	立束
人	ノㄟ
笃	马
削	月刂
鬃	一丨一二厶ノノノ宀二小
躺	身冂口
锗	钅耂日
锖	钅月
锌	钅立十
嵴	山冫ノ丶人月
夯	大力
侨	亻夭ノ丨
嵊	山千丨一一匕ノㄟ
幌	巾日兀
夬	フ一ノㄟ
罩	罒丨一日十
拶	扌フフフ夕
谛	讠亠丷冖巾
腒	月尸十口
酒	氵酉
罨	罒大电
置	罒十具上
蚧	虫人ノ丨
缠	纟广里
挂	扌土土
戊	戈ノ
传	亻专
嗵	口用辶
嗡	口八厶习习
嗳	口ノ⺍冖又
陶	阝勹缶
根	木艮
砹	石艹乂
晶	日日日
刊	干刂
嗥	口白大十
嗅	口自犬
俺	亻大电
徨	彳白王
跷	一フノ兀
纯	纟屯
普	丷亚日
湛	氵其上八フ
虮	虫几
敦	亠口子攵
应	广⺍一
儒	亻雨而
蜈	虫口天
祓	礻又丶
琚	王尸十口
汛	氵フ十
脒	月米
柝	木斥
羞	丑
参	厶大ノノノ
殃	歹央
遣	辶中一㠯
跟	艮
诣	讠匕日
拊	扌亻寸
跪	厂フフ
苊	艹厂フフ
囹	囗人丶
隶	フ一一丨冫ノㄟ
跺	几木
跸	比左匕十
雹	雨勹巳
蛹	虫用
盹	目屯
菂	艹白勺
硫	石亠厶ノ丨フ
跨	大亏
暮	艹日大日
皮	フノ丨又
康	广フ一一丨冫ノㄟ
碛	石冂人
胚	月丕
郚	五口阝
懒	忄束冂人
遢	辶日习习
