的	白勹丶󰁶
赢	亠󰄃口丶
愚	日冂丨心
拓	扌石󰀝
惑	戈口󰀞心
绸	纟󰀼土口
杏	木口󰀘
咽	口囗大󰁶
扮	扌八刀ノ
蒲	艹氵一丶
绣	纟禾乃ノ
唉	口厶𠂉大
梳	木亠厶󰀸
逸	⺈口󰁜辶
菊	艹勹米󰁧
艾	艹乂󰁧
铲	钅立丿ノ
膏	亠口冖月
羞	䒑󰀠󰁈二
葛	艹日勹󰄃
骄	󰀊󰀞丿󰀯
悼	忄󰀥日十
庸	广󰁬月丨
蒂	艹亠丷丨
宰	宀立十󰀬
渴	氵日勹󰄃
肆	󰀍厶󰁬󰀟
魔	广木木厶
榨	木宀八二
蔗	艹广廿灬
秆	禾干󰀢
鹏	月月勹一
灶	火土󰀝
肤	月二人󰁶
怜	忄人丶󰁻
捻	扌人丶心
俊	亻厶八夂
恼	忄亠乂凵
滞	氵一〣丨
凹	丨󰁎󰀽一
倚	亻大丁口
祭	󰁯二小󰁧
葬	艹一夕廾
拢	扌ヒ丶
慈	䒑ㄠㄠ心
砸	石匚冂丨
衍	彳氵一丁
嗓	口又又木
凿	󰅊一䒑凵
唇	厂二󰀖口
尿	尸水󰀦
衫	衤󰁧彡ノ
衔	彳钅一丁
拐	扌口力ノ
脾	月白丿十
锯	钅尸古󰀝
傲	亻主󰁡夂
萝	艹罒夕󰁧
猎	犭ノ󰁺日
夷	一弓人󰀦
贞	󰀥贝󰁧
昙	日二厶󰁧
罕	冖八干󰀬
厦	厂丆目夂
愉	忄人一刂
扔	扌乃ノ
邪	󰀂亅丿阝
坊	土方ノ
媒	女艹二木
脊	󰀪人月󰀘
蕴	艹纟日皿
呖	口厂力ノ
芒	艹亠󰄃󰀅
烫	氵ㄋ󰁤火
恳	彐󰀖心󰁧
哇	口土土󰀝
蛇	虫宀匕󰁀
诏	讠刀口󰀝
昼	尸󰂃日一
铭	钅夕口󰀝
镁	钅丷王大
帕	冂丨白󰀝
冈	冂乂󰀦
胖	月丷󰀟󰀢
刨	勹巳刂󰀢
枚	木夂󰁶
寓	宀日冂丶
荫	艹阝月󰀘
辰	厂二󰀖󰀦
贩	贝⺁又󰁶
娓	女尸丿乚
猫	犭ノ艹田
笛	⺮由󰀘
盯	目丁󰀢
锈	钅禾乃ノ
贾	覀贝󰁧
藤	艹月䒑氺
楔	木三丨大
衷	亠口丨󰀔
僵	亻一田一
斩	车斤󰀢
扁	丶尸冂艹
谕	讠人一刂
淑	氵󰀥一又
厢	厂木目󰀌
甩	月乚󰁫
蚕	一大虫󰁧
禽	人亠乂厶
匆	勹󰁤丶󰀦
捏	扌日土󰀝
瞎	目宀三口
忌	己心󰁧
孕	乃子󰀘
荆	艹一廾刂
俭	亻人一一
肝	月干󰀢
钦	钅⺈人󰁶
缅	纟丆冂三
熄	火丿目心
屑	尸⺌月󰀌
裸	衤󰁧日木
葱	艹勹󰁤心
垒	厶厶厶土
铀	钅由󰀝
淘	氵勹󰅎山
摔	扌亠ㄠ十
暑	日土丿日
哼	口亠口了
勋	口贝力ノ
悔	忄𠂉母󰁶
钞	钅小丿ノ
垮	土大二ㄅ
婶	女宀日丨
嘱	口尸丿丶
鹿	广󰁃〢匕
胺	月宀女󰀝
捆	扌囗木󰁶
谅	讠亠口小
艘	丿󰁪臼又
梭	木厶八夂
梨	禾刂木󰁧
奠	丷西一大
玛	王󰀊一󰀝
栅	木󰀼󰀼一
帘	宀八冂丨
哑	口一󰅊一
皂	白七󰀅
哦	口丿扌丶
烷	火宀二儿
喇	口一口刂
恭	󰁺八⺗󰁧
扛	扌工󰀝
苛	艹丁口󰀘
秤	禾一丷十
屡	尸米女󰀌
耿	耳火󰁶
喘	口山丆〢
愧	忄白󰁜厶
爪	⺁丨󰂃󰀦
叭	口八󰁶
逊	孑小辶󰀦
诈	讠𠂉丨二
俯	亻广亻寸
椭	木阝月
搏	扌一月寸
谨	讠廿口主
拄	扌丶王󰀝
烃	火ス工󰀝
吻	口勹󰁤ノ
绑	纟三丿阝
骚	󰀊󰀞又虫
刹	乂木刂󰀢
熬	主󰁡夂灬
胚	月丆卜一
雀	小亻󰁷󰀘
屯	一凵乚󰁫
拴	扌人王󰀝
拱	扌󰁺八󰁶
舶	丿󰁪白󰀝
裹	亠日木󰀔
矢	𠂉大󰁧
寡	宀丆󰀐刀
栋	木󰀂小󰁶
粤	丿囗米ㄅ
碘	石ㄇ󰁺八
栖	木西󰀝
酱	丬夕西一
肪	月方ノ
薯	艹罒土日
囊	一口丨󰀔
弗	弓󰀯󰀵
惕	忄日勹󰁤
艇	丿󰁪丿廴
肿	月口丨󰀢
汛	氵⺄十󰀢
粱	氵刀八米
敞	⺌冂口夂
冀	丬匕田八
氓	亠󰄃󰁃弋
蜜	宀心丿虫
辐	车一口田
钩	钅勹厶󰁶
哗	口亻ヒ十
廓	广亠口阝
贱	贝二󰅅丶
聘	耳由一ㄅ
舅	臼田力󰁣
滔	氵爫臼󰀝
忉	忄刀ノ
炕	火亠几󰁀
瞪	目癶一䒑
狮	犭ノリ丨
咳	口亠ㄥ人
啡	口丨三三
葫	艹古月󰀘
喻	口人一刂
樱	木贝贝女
龟	⺈日乚󰀅
锰	钅子皿󰀝
擅	扌亠囗一
灿	火山󰀢
谎	讠艹亠󰀸
坎	土⺈人󰁶
卤	󰀥囗乂󰁧
褐	衤󰁧日󰄃
藩	艹氵丿田
毯	丿二乚火
戊	厂󰅅丶󰀦
闸	门甲󰀵
渊	氵丿米丨
譬	尸口立言
胳	月夂口󰀝
斋	文丆冂〢
梢	木⺌月󰀝
崭	山车斤󰀬
扒	扌八󰁶
凄	冫一󰁬女
坪	土一丷十
泳	氵丶𠃌󰀩
忿	八刀心󰁧
宦	宀匚丨丨
枣	一ㄇ󰅇󰁦
狡	犭ノ亠乂
鹰	广亻亻一
笨	⺮木一󰀘
痒	疒䒑󰀟󰀵
傍	亻亠丷方
烹	亠口了灬
怖	忄冂丨
匈	勹乂凵󰀵
塌	土日羽󰀝
咖	口力口󰀝
莽	艹大丶廾
尉	尸二小寸
钝	钅一凵乚
粪	米󰁺八󰁧
迄	𠂉乙辶󰁫
坟	土文󰁶
胃	田月󰀘
郝	土󰁖阝󰀢
寥	宀羽人彡
嘿	口󰀹土灬
兔	⺈口󰁜丶
虹	虫工󰀝
涅	氵日土󰀝
拼	扌䒑廾󰀢
笋	⺮󰁬丿󰁣
镶	钅亠口󰀔
嵌	山艹二人
秉	丿一󰁬󰅇
掺	扌厶大彡
敷	一󰀐丨夂
煽	火丶尸羽
氰	󰅎⺄主月
倦	亻䒑大⺋
聊	耳󰁚丿卩
踩	口止爫木
寇	宀二儿又
哟	口纟勹丶
糕	米丷王灬
筋	⺮月力󰁣
刃	刀丶󰀦
辫	立纟十
跪	口止⺈⺋
穗	禾一日心
扼	扌厂⺋󰁀
庐	广丶尸󰀏
梗	木一日乂
屿	山一ㄅ一
虏	󰅋七力󰀏
沥	氵厂力ノ
憾	忄厂一心
歼	一夕丿十
烛	火虫󰁶
诵	讠󰁻月丨
煌	火白王󰀝
釉	丿米由󰀝
枕	木冖󰁜󰁀
姨	女一弓人
劈	尸口立刀
卵	󰁚丶丿丶
彦	立丿彡󰀏
砖	石二󰁓丶
醛	西一艹王
枉	木王󰀝
肢	月十又󰁶
蹄	口止亠丨
兜	白󰁚󰁃儿
茨	艹冫⺈人
贬	贝丿之󰁶
钊	钅刂󰀢
佣	亻月丨󰀢
汝	氵女󰀝
淆	氵乂月
昔	󰁺日󰀘
讽	讠几乂󰁶
侮	亻𠂉母󰁶
稠	禾󰀼土口
翼	羽田󰁺八
椒	木󰀥一又
钳	钅艹二󰀝
咋	口𠂉丨二
傻	亻丿囗夂
痼	疒囗古󰀌
炊	火⺈人󰁶
庵	广大日乚
帆	冂丨几丶
魄	白白󰁜厶
咯	口夂口󰀝
耽	耳冖󰁜󰁀
贿	贝月󰀝
鳞	󰁢󰀞米丨
丸	九丶󰀦
姬	女匚丨丨
匙	日一󰁾匕
盥	󰀗水皿󰀘
岐	山十又󰁶
仓	人⺋󰀅
翰	十日十羽
哄	口󰁺八󰁶
旷	日广ノ
爵	爫罒彐寸
猴	犭ノ亻大
趟	土󰁾⺌口
瑰	王白󰁜厶
诡	讠⺈厂⺋
踢	口止日󰁤
淹	氵大日乚
沛	氵一冂丨
晕	日冖车󰀬
揽	扌〢𠂉󰁜
桩	木广土󰀝
涵	氵了󰀪凵
僧	亻丷󰀺日
鹤	冖亻󰁷一
裙	衤󰁧󰁬口
畔	田丷󰀟󰀢
耍	丆冂〢女
灼	火勹丶󰁶
滇	氵十󰀣八
沦	氵人匕󰁀
汰	氵大丶󰁶
颊	一丷大贝
膝	月木人氺
懒	忄一口贝
兑	丷口儿󰀅
耙	三󰅇巴󰁀
蹈	口止爫臼
吼	口孑乚󰁀
蕉	艹亻󰁷灬
嗣	口冂艹口
焉	一止一灬
焕	火⺈ㄇ大
汹	氵乂凵󰀢
渥	氵尸一土
辜	古立十󰀬
癌	疒口口山
萎	艹禾女󰀘
钧	钅勹冫󰀝
陌	阝丆日󰀝
煞	⺈彐夂灬
焚	木木火󰁧
佑	亻口󰀝
嘲	口十日月
聂	耳又又󰁧
歉	䒑󰁬󰁗人
骆	󰀊󰀞夂口
屁	尸󰁴匕󰁫
桔	木士口󰀝
惶	忄白王󰀝
衙	彳五口丁
腻	月弋二丶
宠	宀ヒ丶
盏	二󰅅丶皿
袍	衤󰁧勹巳
鞲	廿口十土
捍	扌日干󰀢
锄	钅󰀐󰀞力
惹	艹口心
膛	月⺌冖土
馈	⺈󰁐口贝
蛭	虫一厶土
膊	月一󰀐寸
窜	宀八口丨
娇	女丿大󰀯
乞	𠂉乙󰀅
嚼	口爫罒寸
鄙	口十囗阝
猖	犭ノ日日
绥	纟爫女󰀝
亟	了口又一
抒	扌󰁻乛亅
筐	⺮匚王󰀘
泣	氵立󰀝
篷	⺮夂三辶
拂	扌弓󰀯󰀢
赃	贝广土󰀝
铵	钅宀女󰀝
镀	钅广廿又
钓	钅勹丶󰁶
眷	䒑大目󰀘
兹	䒑ㄠㄠ󰁧
躯	丿󰀽三乂
禹	丿口冂丶
咕	口古󰀝
拣	扌󰀂𠃌八
赚	贝䒑󰁬󰁗
瓣	立⺁十
躁	口止口木
耸	人人耳󰀘
咒	口口几󰀅
箪	⺮丷󰅐󰀬
庚	广󰁬人󰀦
嘻	口士口口
缕	纟米女󰀝
稚	禾亻󰁷󰀝
糙	米丿土辶
挝	扌寸辶󰁶
扳	扌⺁又󰁶
孢	孑勹巳󰁀
酌	西一勹丶
隋	阝工月
哒	口大辶󰁶
勃	十冖孑力
腥	月日丿主
籽	米子󰀝
尧	弋丿一儿
暮	艹日大日
襄	亠口口󰀔
勺	勹丶󰀦
乍	𠂉丨二󰀘
溅	氵贝二丶
溴	氵丿目丶
琳	王木木󰁶
澜	氵门一󰅇
豹	豸勹丶󰁶
唧	口彐厶卩
苟	艹勹口󰀘
拇	扌母󰁶
叮	口丁󰀢
咐	口亻寸󰁶
陛	阝󰁴匕土
瀑	氵日󰁺氺
竿	⺮干󰀬
拧	扌宀丁󰀢
珊	王󰀼󰀼一
皖	白宀二儿
韵	立日勹冫
琐	王⺌贝󰁶
隘	阝䒑八皿
靖	立主月󰀝
邢	一廾阝󰀢
玫	王夂󰁶
撇	扌丷冂夂
僻	亻尸口十
薪	艹立木斤
噪	口口口木
毙	󰁴匕一匕
茄	艹力口󰀘
蜀	罒勹虫󰁧
煎	䒑月刂灬
棕	木宀二小
雁	厂亻亻󰁷
彰	立日十彡
逗	一口䒑辶
絮	女口ㄠ小
淤	氵方人󰁦
崔	山亻󰁷󰀘
荔	艹力力力
矫	𠂉大丿󰀯
赌	贝土丿日
宣	宀一日一
邹	⺈彐阝󰀢
饷	⺈󰁐丿口
褂	衤󰁧土卜
杉	木彡ノ
喧	口宀一一
赣	立日十贝
躬	丿󰀽三弓
痴	疒𠂉大口
撮	扌日耳又
懈	忄⺈月󰀟
凳	癶一口几
沼	氵刀口󰀝
檐	木⺈厂言
瞿	目目亻󰁷
卒	亠人人十
撰	扌巳巳八
睹	目土丿日
憎	忄丷󰀺日
璋	王立日十
韶	立日刀口
募	艹日大力
栓	木人王󰀝
逾	人一月辶
魁	白󰁜厶十
岚	山几乂󰁧
喃	口十冂十
吱	口十又󰁶
鲍	󰁢󰀞勹巳
袜	衤󰁧一木
簇	⺮方𠂉大
琪	王艹三八
魑	白󰁜厶厶
蒜	艹二小小
疙	疒𠂉乙󰁫
寅	宀一由八
禾	禾禾禾禾
鞑	廿口十辶
佃	亻田󰀝
揪	扌禾火󰁶
嗯	口囗大心
粥	弓米弓󰁀
肴	乂月󰀘
泻	氵冖一一
巢	巛日木󰁧
宛	宀夕⺋󰀅
襟	衤󰁧木小
莉	艹禾刂󰀬
鞍	廿口十女
裳	⺌冖口󰀔
奕	亠󰁖大󰁧
赎	贝十乛大
鳙	󰁢󰀞广丨
郓	冖车阝󰀢
雯	󰀙文󰁧
蠢	三人日虫
巍	山禾女厶
侄	亻一厶土
酮	西一冂口
汞	工水󰁧
挟	扌一丷大
唆	口厶八夂
庶	广廿灬󰀦
瞅	目禾火󰁶
硷	石人一一
瞒	目艹一人
眯	目米󰁶
榴	木󰁚丶田
奢	大土丿日
岔	八刀山󰀬
嘘	口󰅋七一
槐	木白󰁜厶
坠	阝人土󰀘
瑟	王王心丿
雹	󰀙勹巳󰀅
缉	纟口耳󰀝
虐	󰅋七匚一
慷	忄广󰁬氺
涧	氵门日󰀝
丞	了󰀩一󰀘
陋	阝一冂󰄃
炽	火口八󰁶
烁	火丿󰄃小
嚣	口口丆口
薛	艹亻󰁃十
邑	口巴󰀅
謇	宀󰀀八言
镰	钅广䒑󰁗
熏	丿一󰀹灬
钥	钅月󰀝
麓	木木广匕
淫	氵爫丿士
剿	巛日木刂
晤	日五口󰀝
驯	󰀊󰀞川󰀢
斧	八乂斤󰀬
畸	田大丁口
媚	女󰁅目󰀝
剔	日勹󰁤刂
铬	钅夂口󰀝
羡	丷王冫人
腺	月白水󰁶
宵	宀⺌月󰀘
蜕	虫丷口儿
姊	女丿ㄅ丿
笙	⺮丿主󰀘
墩	土亠口夂
驴	󰀊󰀞丶尸
喳	口木日一
蔚	艹尸二寸
闺	门土土󰀌
窥	宀八二󰁜
烙	火夂口󰀝
涯	氵厂土土
噢	口丿ㄇ大
蚊	虫文󰁶
黔	󰀹土灬乛
橙	木癶一䒑
歹	一夕󰀦
渍	氵主贝󰁶
魅	白󰁜厶󰅇
碌	石󰁭氺󰁶
睦	目土八土
囚	囗人󰀦
溯	氵䒑凵月
窒	宀八一土
栗	覀木󰁧
芜	艹二󰁜󰀅
厄	厂⺋󰁫
搁	扌门夂口
髓	󰀾月辶
糠	米广󰁬氺
伎	亻十又󰁶
锣	钅罒夕󰁶
桉	木宀女󰀝
楠	木十冂十
骡	󰀊󰀞田小
躅	口止罒虫
镑	钅亠丷方
寞	宀艹日大
腕	月宀夕⺋
狄	犭ノ火󰁶
祺	礻󰁶艹八
嗅	口丿目丶
彝	󰅂一米廾
娥	女丿扌丶
俞	人一月刂
汀	氵丁󰀢
惰	忄工月
殳	几又󰁧
荧	艹冖火󰁧
犬	大丶󰀦
赦	土󰁖夂󰁶
嘎	口丆目戈
骏	󰀊󰀞厶夂
酥	西一禾󰁶
棺	木宀丨󰁃
涩	氵刀丶止
孰	亠口孑丶
蝇	虫口日乚
堕	阝月土
轿	车丿大󰀯
泌	氵心丿ノ
孜	孑夂󰁶
昧	日二󰅇󰁶
迂	一󰀛辶󰀵
妖	女丿大󰁶
牡	牜土󰀝
缀	纟又又又
庇	广󰁴匕󰁫
雍	亠󰁲丿󰁷
笺	⺮二󰅅丶
妆	丬女󰀝
栩	木羽󰀝
聋	ヒ丶耳
涕	氵丷弓丿
蝶	虫廿󰄃木
稽	禾乚日
斌	文二止丶
耦	三󰅇日丶
怯	忄土厶󰁶
咏	口丶𠃌󰀩
磺	石󰁺由八
禀	亠囗口小
枫	木几乂󰁶
伺	亻𠃌一口
釜	八乂干䒑
楞	木罒方ノ
蕊	艹心心心
眨	目丿之󰁶
戋	二󰅅丶󰀦
咀	口󰀐一󰀝
敛	人一󰀧夂
帖	冂丨󰀥口
呐	口冂人󰁶
娶	耳又女󰀘
酰	西一丿儿
饵	⺈󰁐耳󰀝
嗜	口土丿日
谜	讠米辶󰁶
秃	禾几󰀅
挚	扌九丶手
锢	钅囗古󰀝
逞	口王辶󰀌
攫	扌目目又
楷	木󰁴匕白
旭	九日󰀌
楣	木󰁅目󰀝
藻	艹氵口木
蘖	艹亻󰁃木
娱	女口一大
酝	西一二厶
虱	⺄丿虫󰀦
茵	艹囗大󰁧
豁	宀三丨口
跋	口止丶
坤	土日丨󰀢
绢	纟口月󰀝
乒	󰅍一丿󰁣
搓	扌䒑󰀠工
讶	讠󰀂亅丿
绷	纟月月󰀝
钮	钅󰁈丨二
陀	阝宀匕󰁀
戥	日丿主戈
窖	宀八丿口
渭	氵田月󰀝
瞻	目⺈厂言
竺	⺮二󰀘
柿	木亠冂丨
熹	士口䒑灬
谒	讠日勹󰄃
梆	木三丿阝
脯	月一月丶
崎	山大丁口
饺	⺈󰁐亠乂
唾	口丿十一
赳	土󰁾󰁐丨
轩	车干󰀢
埠	土亻󰁃十
呜	口勹ㄅ一
丫	丷丨󰀵
纫	纟刀丶󰁶
滤	氵󰅋七心
哉	土口󰅅丶
棘	一冂󰅇󰅇
晌	日丿冂口
臧	厂󰄃丆丶
缎	纟亻三又
雌	止󰁴亻󰁷
诃	讠丁口󰀝
虾	虫一卜󰁶
诧	讠宀丿七
靶	廿口十巴
峭	山⺌月󰀝
棠	⺌冖口木
戳	羽亻󰁷戈
阜	亻󰁃󰁃十
衅	丿皿丷󰀟
硕	石丆贝󰁶
杖	木󰂃󰁶
嵩	山亠口口
莎	艹氵小丿
奎	大土土󰀘
祯	礻󰁶󰀥贝
霖	󰀙木木󰁧
鸵	勹丶ㄅ匕
霄	󰀙⺌月󰀘
啸	口󰁬󰅏󰀯
氡	󰅎⺄夂󰁦
氦	󰅎⺄亠人
箩	⺮罒夕󰁧
琢	王一󰀓丶
唔	口五口󰀝
腈	月主月󰀝
袄	衤󰁧丿大
吭	口亠几󰁀
寝	宀丬彐又
紊	文ㄠ小󰁧
簿	⺮氵一寸
凰	几白王󰀌
阮	阝二儿󰁀
愣	忄罒方ノ
猾	犭ノ󰀾月
鞠	廿口十米
删	󰀼󰀼一刂
铧	钅亻ヒ十
屉	尸廿󰄃󰁫
磕	石土厶皿
褪	衤󰁧彐辶
咧	口一夕刂
鱿	󰁢󰀞丶
碾	石尸󰁺󰀖
渎	氵十乛大
殆	一夕厶口
淌	氵⺌冂口
漓	氵亠乂厶
恫	忄冂一口
搪	扌广󰁬口
啼	口亠丷丨
戎	戈󰀏
驼	󰀊󰀞宀匕
瑾	王廿口主
沧	氵人⺋󰁀
傀	亻白󰁜厶
磅	石亠丷方
诀	讠ユ人󰁶
琅	王丶彐󰀖
翘	弋丿一羽
湛	氵艹三󰄃
翩	丶尸冂羽
狐	犭ノ⺁󰂃
侠	亻一丷大
垢	土⺁一口
抨	扌一丷十
婿	女乛󰁾月
哺	口一月丶
逶	禾女辶󰀌
讳	讠二𠃌丨
筷	⺮忄ユ人
闵	门文󰀦
谤	讠亠丷方
侣	亻口口󰀝
券	䒑大刀󰁣
幢	冂丨立土
殃	一夕ㄇ大
苓	艹人丶󰁻
澈	氵亠厶夂
豌	一口䒑⺋
噶	口艹日󰄃
琦	王大丁口
洼	氵土土󰀝
洽	氵人一口
沁	氵心󰁶
乓	󰅍一丶󰁧
朔	䒑凵丿月
绚	纟勹日󰀝
婷	女亠口丁
羟	䒑󰀠ス工
彤	󰀼亠彡ノ
泮	氵丷󰀟󰀢
硼	石月月󰀝
吆	口ㄠ󰁶
怔	忄一止󰀝
儡	亻田田田
茸	艹耳󰀘
茧	艹虫󰁧
椰	木耳阝󰀢
莸	艹犭ノ丶
乖	丿十丬匕
窍	宀八工ㄅ
桦	木亻ヒ十
笃	⺮󰀊一󰀘
呕	口匚乂󰁶
眺	目儿󰀪󰁶
榆	木人一刂
裘	一氺丶󰀔
沂	氵斤󰀢
诛	讠󰅎󰅇󰁶
谆	讠亠口子
瘫	疒又亻󰁷
觅	爫ㄇ󰁜󰀅
舜	爫冖夕丨
踽	口止丿丶
皿	皿丨󰁈一
奄	大日乚󰀅
岖	山匚乂󰁶
鳌	主󰁡夂一
妓	女十又󰁶
蒴	艹䒑凵月
薇	艹彳山夂
炯	火冂口󰀝
尹	󰁬丿󰀏
樟	木立日十
渺	氵目小丿
袱	衤󰁧亻丶
竣	立厶八夂
邱	󰅍󰀞阝󰀢
胥	乛󰁾月󰀘
粟	覀米󰁧
镍	钅丿目木
嗽	口一口人
疫	疒几又󰀦
禺	日冂丨丶
憩	丿古丿心
鹅	丿扌󰅅一
啃	口止月󰀝
眶	目匚王󰀝
涝	氵艹冖力
钡	钅贝󰁶
掂	扌广󰀥口
澡	氵口口木
阎	门⺈臼󰀌
葵	艹癶一大
戬	一󰅊一戈
骇	󰀊󰀞亠人
潺	氵尸子子
泊	氵白󰀝
鲋	󰁢󰀞亻寸
绮	纟大丁口
侈	亻夕夕󰁶
亨	亠口了󰀬
徘	彳丨三三
叩	口卩󰀢
迤	𠂉也辶󰁫
槛	木〢𠂉皿
祈	礻󰁶斤󰀢
蘸	艹西一灬
猩	犭ノ日主
飚	几乂火火
湃	氵三十
湍	氵山丆〢
廿	廿一丨一
脖	月十冖子
婉	女宀夕⺋
靴	廿口十ヒ
叽	口几󰁀
颓	禾几丆贝
臻	一厶土禾
嗨	口氵𠂉母
戌	厂一󰅅丶
芋	艹一󰀛󰀬
恣	冫⺈人心
彬	木木彡ノ
椿	木三人日
绰	纟󰀥日十
晾	日亠口小
谥	讠䒑八皿
羲	丷王禾丶
逛	犭ノ王辶
妮	女尸匕󰁀
嘶	口艹三斤
硒	石西󰀝
驿	󰀊󰀞又󰀟
垛	土几木󰁶
惭	忄车斤󰀢
捂	扌五口󰀝
詹	⺈厂八言
褥	衤󰁧厂寸
壑	󰀥冖一土
蟹	⺈月丨虫
馒	⺈󰁐日又
蕾	艹󰀙田󰀘
蔓	艹日罒又
荪	艹孑小󰁧
腮	月田心󰁶
趾	口止止󰀝
滦	氵亠󰁗木
嗬	口艹亻口
痹	疒田一󰀯
碉	石󰀼土口
芹	艹斤󰀬
恃	忄土寸󰁶
秽	禾山夕󰁶
樊	木乂乂大
殴	匚乂几又
訾	止匕言󰀘
札	木乚󰁀
诅	讠󰀐一󰀝
孚	爫子󰀘
蝴	虫古月󰀝
匿	匚艹口
杲	日木󰁧
枷	木力口󰀝
厥	厂䒑凵人
噔	口癶一䒑
恍	忄⺌一儿
廖	广羽人彡
啤	口白丿十
羿	羽廾󰀬
汾	氵八刀ノ
撼	扌厂一心
帷	冂丨亻󰁷
佼	亻亠八乂
厕	厂贝刂󰀵
巫	工人人󰀦
碟	石廿󰄃木
胧	月ヒ丶
曙	日罒土日
辘	车广󰁃匕
斟	艹三八十
揣	扌山丆〢
踱	口止广又
诽	讠丨三三
烽	火夂三丨
娟	女口月󰀝
拈	扌󰀥口󰀝
冉	冂土󰀌
祀	礻󰁶巳󰁀
祠	礻󰁶𠃌口
狈	犭ノ贝󰁶
蹦	口止山月
濒	氵止󰀤贝
砧	石󰀥口󰀝
峙	山土寸󰁶
谏	讠一󰀹󰅇
恕	女口心󰁧
苑	艹夕⺋󰀅
笈	⺮乃󰂃󰁧
凋	冫󰀼土口
圜	囗罒一󰀔
筝	⺮⺈󰁬亅
夭	丿大󰀦
辄	车耳乚󰁀
饯	⺈󰁐二丶
揩	扌󰁴匕白
篱	⺮亠乂厶
嫉	女疒𠂉大
壕	土亠口󰀓
瑚	王古月󰀝
攘	扌亠口󰀔
芡	艹⺈人󰁧
尴	乚〢皿
熠	火羽白󰀝
淳	氵亠口子
痢	疒禾刂󰀵
咚	口夂󰁦󰁶
泗	氵四󰀝
榕	木宀八口
撬	扌丿二乚
檀	木亠囗一
苇	艹二𠃌丨
冥	冖日亠八
嬉	女士口口
靡	广木木三
擒	扌人亠厶
苞	艹勹巳󰀅
蚂	虫󰀊一󰀝
甄	覀土一丶
窟	宀八尸山
蛛	虫󰅎󰅇󰁶
娣	女丷弓丿
瘩	疒艹人口
驮	󰀊󰀞大󰁶
琉	王亠厶󰀸
暇	日󰁃丨又
橱	木厂一寸
菩	艹立口󰀘
嘈	口一ㄇ日
禅	礻󰁶丷󰅐
恝	三丨刀心
鲤	󰁢󰀞日土
呻	口日丨󰀢
龚	ヒ丶八
兢	古儿古儿
幌	冂丨日儿
牟	厶丿󰀟󰀬
匣	匚甲󰀵
酏	西一也󰁀
卉	十廾󰀬
萱	艹宀一一
凛	冫亠囗小
忱	忄冖󰁜󰁀
拷	扌土丿ㄅ
拯	扌了󰀩一
哔	口󰁴匕十
悍	忄日干󰀢
毋	󰅂󰀌
砉	三丨石󰀘
锉	钅人人土
幂	冖日大丨
虞	󰅋七口大
崽	山田心󰁧
砾	石丿󰄃小
垣	土一日一
娴	女门木󰁶
瑛	王艹ㄇ大
捶	扌丿十一
肾	〢又月󰀘
殡	一夕宀八
羁	罒廿口一
蛤	虫人一口
獗	犭ノ厂人
汲	氵乃󰂃󰁶
垠	土彐󰀖󰁶
迸	䒑廾辶󰀵
绊	纟丷󰀟󰀢
钵	钅木一󰀝
飙	大丶大乂
搂	扌米女󰀝
冕	曰⺈口󰁜
蠕	虫󰀙丆〢
肘	月寸󰁶
拙	扌凵山󰀢
捎	扌⺌月󰀝
饲	⺈󰁐𠃌口
钨	钅勹ㄅ一
绽	纟宀一󰁾
觐	廿口主󰁜
赂	贝夂口󰀝
蚁	虫丶乂󰁶
肱	月厶󰁶
嗡	口八厶羽
栈	木二󰅅丶
忡	忄口丨󰀢
裔	亠󰀔冂口
迥	冂口辶󰀌
朦	月艹冖󰀓
浚	氵厶八夂
肇	丶尸夂󰀟
萋	艹一󰁬女
尬	乚人󰀯
髯	󰀍厶彡土
弘	弓厶󰁶
戮	羽人彡戈
汕	氵山󰀢
倔	亻尸凵山
拭	扌󰀁工丶
鹃	口月勹一
婪	木木女󰀘
墟	土󰅋七一
嗦	口十冖小
嘀	口亠丷古
骥	󰀊󰀞丬八
吩	口八刀ノ
簸	⺮艹三又
藉	艹三󰅇日
潼	氵立日土
膳	月䒑󰀟口
谚	讠立丿彡
肋	月力ノ
阙	门䒑凵人
汶	氵文󰁶
踞	口止尸古
圾	土乃󰂃󰁶
讥	讠几󰁀
菠	艹氵󰅌又
疮	疒人⺋󰁫
箕	⺮艹三八
屎	尸米󰀦
璧	尸口立丶
霎	󰀙立女󰀘
晦	日𠂉母󰁶
颐	匚丨口贝
慑	忄耳又又
肽	月大丶󰁶
翊	立羽󰀝
堰	土匚日女
蛙	虫土土󰀝
蚜	虫󰀂亅丿
娜	女𠃌󰀠阝
炔	火ユ人󰁶
垃	土立󰀝
钼	钅目󰀝
刁	𠃌󰀞󰀌
鸽	人一口一
梧	木五口󰀝
殉	一夕勹日
憋	丷冂󰅏心
婢	女白丿十
妒	女丶尸ノ
窘	宀八󰁬口
泾	氵ス工󰀝
漪	氵犭ノ口
筵	⺮丿止廴
搀	扌⺈口󰁦
矾	石几丶󰁶
柑	木艹二󰀝
撩	扌大丷小
劾	亠ㄥ丿力
嫣	女一止灬
咪	口米󰁶
焘	三丿寸灬
雉	𠂉大亻󰁷
遏	日勹人辶
蔷	艹十䒑口
胭	月囗大󰁶
炬	火匚󰁃󰀝
粕	米白󰀝
弋	弋一󰁒丶
璇	王方𠂉󰁾
颅	󰀥尸丆贝
