礼	二小乚󰁀
汫	氵二󰀯󰀢
菻	艹木木󰁧
姴	一夕刂女
䧴	十又亻󰁷
㑎	亻巛山󰀢
菤	艹丷夫⺋
呎	口尸󰂃󰁶
觴	⺈用𠂉󰁤
瑎	王󰁴匕白
摎	扌羽人彡
鲏	󰁢󰀞皮󰁶
貏	豸白丿十
梵	木木几丶
菫	艹一口
耎	丆冂〢大
瀎	氵艹罒人
逎	西一辶󰀌
孇	女亻󰁷又
菵	艹冂䒑󰄃
莻	艹乃口匕
屶	山刀󰁣
鎻	釒巛貝󰁶
菾	艹一大⺗
䀥	目丿󰄃小
镍	钅丿目木
䜘	言艹勹攵
畍	田人󰀯󰀢
踎	口止丆口
帎	冂丨冖󰁜
渎	氵十乛大
㸎	火耳耳耳
与	一ㄅ一󰀌
緬	糹丆囗二
痜	疒禾几󰁫
闠	門口丨貝
㪴	二儿󰁦十
䪴	冖󰁜丆貝
媴	女土口󰀔
攎	扌虍田皿
甎	一曰丨丶
䳏	土土󰁟灬
骴	󰀾月止匕
㳴	氵心丿土
䑻	丿󰁪方子
賏	貝貝󰁶
锎	钅门一廾
葻	艹几丿虫
㬴	月󰁺八󰁶
萯	艹⺈貝󰁧
㖾	口口䒑丿
㦟	豸日土心
䡜	車土八土
搻	人一口手
萻	艹立曰󰀘
鐻	釒虍一󰀓
阍	门󰁚弋日
溿	氵田丷󰀟
葄	艹月𠂉二
济	氵文󰀯󰀢
嵎	山曰冂丶
赎	贝十乛大
瘍	疒曰一󰁤
䄝	礻󰁶三臼
礢	石䒑夫艮
䘍	艹日冂虫
㵎	氵門月󰀝
㓎	冫彐冖又
篩	⺮丿󰃧丨
婴	贝贝女󰀘
䩴	廿󰀜古月
穴	宀八󰁧
擎	艹勹口手
驴	󰀊󰀞丶尸
詴	言月󰀝
権	木𠂉一󰁷
鈐	釒人丶乛
铎	钅又󰀟󰀢
蓎	艹广󰁬口
葝	艹一巛力
葦	艹󰁆口㐄
葧	艹十冖力
胻	月彳一丁
䡴	車立日土
弝	弓巴󰁀
羋	丨一丨󰀟
㜺	女丿土貝
鶎	宀二小灬
㛦	女木木󰁶
龗	󰀙口口三
蜏	虫禾乃󰁥
嗍	口䒑凵月
涎	氵丿止廴
痍	疒一弓人
藍	艹匚丨皿
䶈	臼󰁐󰁦寸
䈠	⺮爫一又
㗍	口禾日󰀝
䗍	彑󰀓虫󰁧
朄	曰丨木󰀹
䑹	丿󰁪宀又
蒚	艹一口丨
䟬	口止丘󰀝
蒠	艹丿目心
蒢	艹阝人朩
蒤	艹氵人朩
蒦	艹亻󰁷又
霴	󰀙二厶氺
蒧	艹戊󰀥口
爻	乂乂󰁧
軵	車亻寸󰁶
刻	亠ㄥ丿刂
朴	木卜󰁶
㻵	王尸子子
䜴	一口䒑又
湈	氵甘木󰁶
䅻	禾亠乂厶
䙏	衤󰁧甫寸
蒪	艹甫寸󰁧
蒫	艹⺶工󰀘
捙	扌車󰀢
燁	火艹一󰀟
㫒	日廾󰀬
媧	女ㄇ󰁈口
䠳	丿󰀽三山
舃	臼一ㄅ灬
琲	王丨三三
蓅	艹氵亠󰀸
奡	丆目大󰀯
蚏	虫月󰀝
儻	亻⺌冖灬
㚏	大廾󰀬
䈷	⺮木夂口
㿵	皮丆冂大
蓗	艹彳土󰁾
櫈	木癶一几
燏	火󰁻乛口
蓜	艹西一己
蓞	艹爫臼󰀘
歴	厂木木止
鼵	臼󰁐󰁦犬
蛴	虫文󰀯󰀢
缵	纟丿土贝
更	一日乂󰀦
围	囗二𠃌丨
䉻	米󰁚󰀁󰁀
㛴	女巛丿乂
㗻	口ㄇ󰁈辶
㦡	忄白幺木
蓧	艹亻丨朩
蓩	艹󰁻乛力
蓫	艹一󰀓辶
洏	氵丆冂〢
疻	疒口八󰀦
䲘	󰁢灬⺮󰃧
䇫	⺮匚丨丨
鬪	丨王王寸
蓺	艹土八丶
䖻	虫亠厶󰀸
䗠	方𠂉乛虫
祩	礻󰁶丿未
䈏	⺮一口田
煏	火一口田
歈	人一月人
孈	女山亻口
䍿	羽王󰀘
蔖	艹虍󰀐一
媕	女人一廾
櫴	木木口貝
蔞	艹󰀻女󰀘
蔢	艹氵皮女
罵	罒󰀋灬󰁧
轵	车口八󰁶
鞴	廿󰀜󰁺用
蔣	艹爿󰁝寸
㞴	山󰁚󰀁󰁀
併	亻䒑廾󰀢
垴	土亠乂凵
枴	木口刀󰁥
蔥	艹丿囗心
蔩	艹宀一八
瘻	疒󰀻女󰀌
欈	木山亻口
醏	西一土日
䪝	󰁆口㐄又
蕄	艹門心󰁧
㩦	扌亻󰁷口
籝	⺮󰄹月丶
敘	人一朩攵
䋻	糹十冂十
㿈	疒󰁲丿󰁷
䌓	𠂉母几小
欵	匕𠂉大人
厼	厶小󰁧
蕜	艹丨三心
鋻	匚丨󰁃金
萹	艹丶尸艹
蕥	艹󰀄亅󰁷
蕦	艹彡丆貝
蕧	艹彳𠂉夂
祑	礻󰁶丿夫
蕪	艹𠂉一灬
䊻	糹⺈人󰁶
臻	一厶土禾
燻	火丿一灬
蕮	艹臼勹灬
靴	廿󰀜亻ヒ
侵	亻彐冖又
㝴	二儿寸󰀦
杴	木⺈人󰁶
击	󰀟凵󰀬
㵞	氵禾火心
蕶	艹󰀙人󰁻
犻	犭󰁥一丨
薂	艹白方攵
薉	艹止戊󰀤
薊	艹󰁢灬刂
䤏	西一丨手
椏	木一󰀚一
䖯	土土虫󰁧
淴	氵勹󰁤心
䪩	立日人乛
薘	艹土羊辶
薙	艹𠂉大󰁷
㗲	口󰁬土一
㚐	大大󰁧
薝	艹⺈厂言
抎	扌二厶󰁶
犎	土土寸󰀟
贻	贝厶口󰀝
驏	󰀋灬尸子
薟	艹人一人
薢	艹⺈用󰀟
邎	󰁝言丿辶
肎	冖月󰀘
䂎	󰁻乛亅貝
䌻	纟羽󰀝
璂	王󰀎八土
紏	糹󰁦十󰀢
錻	釒一󰀁丶
㩏	扌󰀹土灬
䩏	丆囗〢人
婏	女⺈口丶
㳾	氵⺶乚󰁀
薺	艹󰀴󰀳󰀘
聎	耳儿󰀪󰁶
過	ㄇ󰁈冂辶
墏	爿󰁝寸土
㫘	丆卜日󰀘
滻	氵立丿
藄	艹󰀎八小
㵻	氵月臼又
䄦	禾了󰀢
藊	艹禾丶艹
簮	⺮夫夫曰
町	田丁󰀢
浻	氵冂八口
嵻	山广󰁬氺
䵻	目󰁕丆彐
钺	钅一󰁐丶
蒺	艹疒𠂉大
骏	󰀊󰀞厶夂
誏	言丶艮󰁶
唘	石又口󰀘
藖	艹匚丨貝
藘	艹虍田心
㖐	口口󰁬丿
藝	艹土八厶
鏟	釒立丿
䏟	月心丿󰁥
珟	王几一夕
㪏	白丿十又
藥	艹白幺木
剎	乂木丶刂
䪏	󰁆口㐄人
藦	艹广木手
藪	艹󰀻女攵
藬	艹阝口貝
藭	艹宀八弓
漎	氵彳人󰁾
㳂	氵八厶󰁶
藺	艹門亻󰁷
藽	艹立朩儿
鐟	釒夫夫日
㴻	氵一口寸
琟	王亻󰁷󰀝
蘄	艹口口斤
活	氵丿古󰀝
畺	一田一一
䕺	艹业丷又
啺	口曰一󰁤
茎	艹ス工󰀘
铺	钅一月丶
挎	扌大二ㄅ
猎	犭ノ󰁺日
䐔	月丶尸艹
㼡	丿未一丶
蘔	艹匕禾貝
橫	木廿一八
蘙	艹匚𠂉羽
蘝	艹人一人
蘞	艹人一攵
蘟	艹阝爫心
䌎	田夂口小
匎	勹大曰乚
鍟	釒日丿
㫏	方𠂉覀女
䍟	罒乂凵夂
蘨	艹爫𠂉小
紽	糹宀匕󰁀
蘬	艹丿󰃧丨
蘭	艹門木󰀹
㒏	亻宀󰀀󰁦
䥚	几目目金
媥	女丶尸艹
蘿	艹罒糹󰁷
詮	言人王󰀝
㳻	氵󰁺日󰀝
虄	艹虫夂
峻	山厶八夂
䒺	艹幺小󰁧
璺	󰀗ㄇ一丶
撺	扌宀八丨
鬏	󰂞彡禾火
苎	艹宀一󰀘
狎	犭ノ甲󰀢
拎	扌人丶󰁻
莟	艹人丶口
虊	艹言糹木
虌	艹㡀攵黽
㪙	日木攵󰁶
鼡	󰀧几󰀟󰀬
䟨	口止󰁂󰀁
櫝	木士罒貝
虘	虍󰀐一󰀌
嬏	女丿米田
䋎	糹日一󰀝
㬏	日一口丨
虜	虍田力󰀏
虝	虍几勹󰁤
號	口一ㄅ几
䱡	󰁢灬勹米
虤	虍几虍几
虥	虍几戈戈
虦	戈戈虍几
䋟	糹己心󰁶
狟	犭󰁥一一
虧	虍亻󰁷ㄅ
紦	糹巴󰁀
虪	虍几亻灬
㓺	虍文刂󰀢
䓺	艹丷王大
哺	口一月丶
治	氵厶口󰀝
粻	米󰀍󰀖󰁶
礴	石艹氵寸
耻	耳止󰀝
头	󰁦大󰀦
掎	扌大丁口
㤴	忄耳乚󰁀
䤴	釒了󰀪凵
泤	氵󰁐丶人
䄽	禾西󰀝
虲	虫卜󰁶
纟	纟ㄥㄥ󰀞
嗩	口⺌貝󰁶
泘	氵丿丷󰀛
玎	王丁󰀢
莎	艹氵小丿
魏	禾女白厶
蚄	虫方󰁥
蚅	虫厂⺋󰁀
䐠	月艹亠󰀸
㮘	木󰁻乛攵
䌟	糹尸口辛
匟	匚亠几󰁫
猟	犭󰁥󰀧󰀟
粠	米󰁺八󰁶
蚎	虫日󰀝
䱠	󰁢灬戈戈
蚘	虫乚丶
蚙	虫人丶乛
蚞	虫木󰁶
蚟	虫王󰀝
饴	⺈󰁐厶口
雝	巛口巴󰁷
蚥	虫八乂󰁶
聻	氵車斤耳
磴	石癶一䒑
捎	扌⺌月󰀝
壴	土口䒑󰀘
䣴	西一乂儿
㣴	彳󰁺由八
䉟	⺮扌亻又
鉟	釒丆卜一
洡	氵二木󰁶
冸	冫丷󰀟󰀢
蚲	虫一丷十
䅄	禾力力力
荎	艹一厶土
箏	⺮爫󰁬亅
廮	广貝貝女
鍎	釒⺁十目
蚽	虫丆卜一
蚾	虫皮󰁶
弨	弓刀口󰀝
籟	⺮木口貝
羠	⺶一弓人
蛒	虫夂口󰀝
猤	犭󰁥癶大
錤	釒󰀎八󰁶
䆮	宀八氵又
蛝	虫艮󰁶
䌤	糹一八乂
滅	氵戊一火
吙	口火󰁶
狤	犭󰁥士口
逻	罒夕辶󰀦
鋤	釒󰀐󰀞力
寏	宀⺈ㄇ大
榴	木󰁚丶田
㐎	文乙󰀅
䯏	󰀾月丿古
㲟	艹ㄇ大毛
鷿	尸口辛灬
㦴	戈夂口󰀌
䦴	門罒土十
蜄	虫厂二󰀖
㒫	一丨二儿
稫	禾一口田
㘟	囗廾󰀵
鯏	󰁢灬禾刂
缽	𠂉十凵一
篏	⺮甘⺈人
诏	讠刀口󰀝
䳱	󰁻乛亅灬
勸	艹口口力
莤	艹西一󰀘
蜙	虫木八厶
蜦	虫人一艹
蜧	虫丶尸犬
䲜	󰁢灬󰁢灬
蜪	虫勹𠂉凵
䎤	二木尸口
務	󰁻乛亅力
蜯	虫三人󰀟
㐋	土乙󰀅
鍤	釒丿十臼
獤	犭󰁥󰁸攵
蜼	虫亻󰁷󰀝
醄	西一勹凵
氏	󰁚弋󰁫
奴	女又󰁶
襴	衤󰁧門󰀹
㰏	木⺮󰁸口
饯	⺈󰁐二丶
糪	尸口辛米
䥴	釒山亻𠃌
㥴	忄⺁虍几
䍤	罒󰀴󰀳󰀘
屄	尸宀八󰀦
毠	力口毛󰀅
舤	丿󰁪几丶
爤	火艹門󰀹
鰏	󰁢灬一田
谏	讠一󰀹󰅇
珎	王⺈小󰁶
鈤	釒日󰀝
蝜	虫⺈貝󰁶
蝝	虫彑󰀓󰁶
碐	石土八夂
蝫	虫土丿日
蝬	虫乂凵夂
儩	亻貝日󰁤
蝱	亠󰄃虫虫
蝲	虫木口刂
䈤	⺮木甘󰀘
燤	火艹曰丶
臤	匚丨󰁃又
馴	󰀋灬川󰀢
釤	釒彡󰁥
䦥	門木木󰀦
䝩	貝人彡󰁥
頪	米丆貝󰁶
蠪	立月一虫
砪	石母󰁶
株	木󰅎󰅇󰁶
螌	丿󰁪几虫
紀	糹己󰁀
祬	礻󰁶一土
螐	虫󰁞灬󰁶
僎	亻巳巳八
㙥	土六口󰀔
犤	牜罒厶匕
醍	西一日󰁾
觎	人一月󰁜
䠪	口止幺󰄃
槎	木䒑󰀠工
姎	女ㄇ大󰁶
銤	釒米󰁶
螜	士冖一虫
螧	虫土丿日
䔓	艹言𠂉十
螪	虫亠丷口
掫	扌耳又󰁶
慟	忄丿一力
螰	虫󰁙󰁴匕
䃐	石宀八犬
㦱	一戈土󰀌
螴	阝木曰虫
牤	牜亠󰄃󰁀
艤	丿󰁪丷丶
剤	文󰀳刂󰀢
邴	一冂人阝
祫	礻󰁶人口
鄩	彐工口阝
汿	氵󰁻乛亅
䕹	艹亠人󰁷
螾	虫宀一八
﨎	文亻󰁷又
棪	木火火󰁶
焩	火月月󰀝
脩	亻丨夂月
蟇	艹曰大虫
蟌	虫丿囗心
配	西一己󰁀
䄩	禾󰀁丶󰁶
税	禾丷口儿
討	言寸󰁶
免	⺈口󰁜󰀅
樎	木宀亻日
䧎	阝口月󰀝
㧎	扌󰀄亅丿
缿	𠂉十凵口
憏	忄󰁯二小
蟖	虫󰀎八斤
蟗	一口丨虫
蟘	虫亻󰀁貝
蟙	虫亠丷日
蟚	士口䒑虫
蟜	虫丿大口
蟞	㡀攵虫󰁧
㶢	火九󰀅
榊	木礻󰁶丨
耞	二木力口
蟦	虫十艹貝
䄤	礻󰁶木貝
怞	忄由󰀝
酩	西一夕口
蟧	虫火火力
㣥	彳亻土寸
梪	木一口䒑
墪	󰁸孑攵土
腩	月十冂十
煩	火丆貝󰁶
蟬	虫口口十
鈍	釒一凵乚
䅩	禾十又八
㢪	弓二ㄅ󰁀
戍	厂丶󰅅丶
刍	⺈彐󰀘
舍	人干口󰀘
爍	火白幺木
㨎	扌丆冂大
䅍	禾丿士廴
蟱	虫𠂉一灬
蟴	󰀎八斤虫
蟷	虫⺌冖田
㥦	匚大人心
蟽	虫土羊辶
蟿	車凵几虫
郤	八人口阝
䃤	石󰁬十󰀲
僤	亻口口十
蠅	虫黽󰀝
偄	亻丆冂大
礄	石丿大口
跈	口止人彡
蠔	虫󰁸冖󰀓
蠘	虫十戈󰁷
蠙	虫宀一貝
饪	⺈󰁐丿士
醤	丬爫寸一
炩	火人丶󰁻
肩	丶尸月󰀌
傩	亻又亻󰁷
楪	木廿󰄃木
重	丿一日土
䂩	石囗大󰁶
䆤	宀八丿丿
㥥	忄日冂丶
妎	女人󰀯󰀢
懍	忄亠囗禾
燍	火󰀎八斤
覎	目儿子󰀌
蠤	丷西一虫
蠥	凵丿丿虫
䥎	釒厂二月
㥎	禾勹丿心
緁	糹一󰁬󰁾
蠭	夂三丨虫
氱	气曰一󰁤
獱	犭󰁥宀貝
䮬	󰀋灬艹大
蠳	虫貝貝女
腤	月立日󰀝
慤	士冖几心
䅤	禾丿十臼
兤	⺌一儿八
㦥	忄宀三心
衁	亠󰄃丿皿
衃	丿皿丆卜
衆	丿皿乑󰁧
衇	丿皿⺁󰀕
餪	人良丆大
褪	衤󰁧彐辶
烩	火人二厶
惩	彳一止心
太	大丶󰀦
䃩	石ㄇ󰁺󰀖
㤪	一夕⺋心
衎	彳干一丁
衑	彳人丶丁
衒	彳亠幺丁
術	彳木丶丁
耤	二木󰁺日
衖	彳󰁺八丁
碍	石日一寸
梍	木白七󰁀
墍	白匕󰀄土
䁌	目田月󰀝
衘	彳𠂉一丁
䰭	丆冂〢厶
颍	匕水丆贝
袍	衤󰁧勹巳
衛	彳󰁆口丁
衜	彳䒑丿丁
衝	彳丿一丁
怤	亻寸心󰁧
衞	彳󰁆口丁
衟	彳巛丆丁
衠	彳十󰀣丁
衦	衤󰁧干󰀢
衧	衤󰁧一󰀛
畇	田勹冫󰀝
霟	󰀙氵󰁺八
衯	衤󰁧八刀
夋	厶八夂󰁧
惚	忄勹󰁤心
衳	衤󰁧八厶
衴	衤󰁧冖󰁜
衵	衤󰁧日󰀝
衶	衤󰁧口丨
䜟	言十戈󰀞
衻	衤󰁧冂二
㢍	广艹ㄇ大
氜	气日󰀌
㯤	木人人人
袆	衤󰁧二丨
桍	木大二ㄅ
炌	火人󰀯󰀢
䡍	車夫󰁶
塍	月䒑大土
袇	衤󰁧󰀼亠
袉	衤󰁧宀匕
肌	月几󰁀
邌	禾勹丿辶
䘩	衤󰁧勹日
巪	匚󰁃󰁈󰀅
昩	日一木󰁶
瘩	疒艹人口
跪	口止⺈⺋
阩	阝丿廾󰀢
邤	斤阝󰀢
袎	衤󰁧幺力
袐	衤󰁧心丿
袑	衤󰁧刀口
袓	衤󰁧󰀐一
袔	衤󰁧丁口
悤	丿囗夕心
袕	衤󰁧宀八
袗	衤󰁧人彡
袘	衤󰁧𠂉也
袙	衤󰁧白󰀝
袚	衤󰁧丶
袛	衤󰁧󰁚丶
袝	衤󰁧亻寸
袟	衤󰁧丿夫
㡍	白大冂丨
袠	亠丿夫󰀔
袡	衤󰁧冂土
复	𠂉日夂󰁧
䃌	石覀土󰀝
烌	火亻木󰁶
植	木十󰀣󰀝
餍	厂犬人艮
背	丬匕月󰀘
㙩	土大丷小
袣	衤󰁧廿󰄃
噩	王口口口
䙩	衤󰁧艹󰀓
綪	糹月󰀝
涪	氵立口󰀝
险	阝人一一
趪	土󰁾󰁺八
袧	衤󰁧勹口
郼	󰁆口㐄阝
袩	衤󰁧󰀥口
袪	衤󰁧土厶
袮	衤󰁧𠂉小
㿦	士󰁅几白
䁤	目亠丷古
袯	衤󰁧ㄥ丶
䉳	⺮󰁢灬羊
袳	衤󰁧夕夕
袴	衤󰁧大ㄅ
袵	衤󰁧亻士
袶	衤󰁧夂㐄
袸	衤󰁧子
袹	衤󰁧丆日
袺	衤󰁧士口
㤍	工一ㄅ心
翎	人丶󰁻羽
䣍	大日󰁐阝
壍	氵車斤土
棍	木日󰁴匕
磍	石宀三口
裍	衤󰁧囗木
鄌	广󰁬丨阝
袾	衤󰁧丿未
懞	忄艹冖󰀓
斩	车斤󰀢
疩	疒九十󰀵
乪	乙田󰀌
喩	口人一巜
裀	衤󰁧囗大
䇞	⺮甘󰀘
蹪	口止口貝
鹪	亻󰁷灬一
㨪	扌日⺌儿
裃	衤󰁧上卜
裇	衤󰁧丿皿
㖝	未口匕󰀅
稪	禾𠂉日夂
横	木󰁺由八
娪	女五口󰀝
䇩	⺮日󰁒丿
裏	亠曰土󰀔
裐	衤󰁧口月
騪	󰀋灬臼又
臩	󰁃丨匚󰀯
裑	衤󰁧丿丿
裓	衤󰁧戈廾
裖	衤󰁧厂󰀖
裗	衤󰁧亠󰀸
爞	火虫虫虫
鞍	廿󰀜宀女
迎	󰁚卩辶󰀵
瞍	目臼丨又
濎	氵目󰁕󰁈
垍	土丿目󰀝
俎	人人󰀐一
㞍	尸九丶󰀦
裛	󰁸巴󰀔󰁧
䈞	⺮亠口日
補	衤󰁧甫󰁶
裝	爿士亠󰀔
裞	衤󰁧丷儿
裡	衤󰁧曰土
裦	亠亻二󰀔
裧	衤󰁧火火
㫪	三人丨日
䫪	大乂乂貝
嫪	女羽人彡
櫪	木厂禾止
裪	衤󰁧勹凵
裫	衤󰁧󰀲一
裬	衤󰁧土夂
裭	衤󰁧虍几
裮	衤󰁧日曰
裯	衤󰁧󰀼口
裲	衤󰁧一丶
兞	古儿毛󰁫
猩	犭ノ日主
茩	艹⺁一口
髪	󰂞彡又
裵	亠丨三󰀔
靍	󰀙亻󰁷灬
裶	衤󰁧丨三
睍	目目儿󰁀
蝍	虫󰁮卩󰀢
坍	土󰀼亠󰀝
杍	木子󰀝
㝍	宀一ㄅ一
䝍	一󰀓冖車
傓	亻丶尸羽
製	𠂉一冂󰀔
裿	衤󰁧大口
褀	衤󰁧󰀎八
顙	又又又貝
褃	衤󰁧止月
褄	衤󰁧一󰁬
褅	衤󰁧亠丨
䪪	力口立日
㪪	一大丨又
捩	扌丶尸犬
卩	卩𠃌丨
褉	衤󰁧三大
褋	衤󰁧廿木
褍	衤󰁧山〢
醞	西一囗皿
冞	冖米󰁧
䆞	宀八日匕
褏	亠亻二󰀔
褑	衤󰁧爫又
荩	艹尸󰂃󰁦
獩	犭󰁥止󰀤
褕	衤󰁧人刂
鍩	釒艹口
蠍	虫日勹人
砍	石⺈人󰁶
褖	衤󰁧彑󰀓
齎	󰀴󰀳貝󰁧
低	亻󰁚󰀁丶
㠍	山亻󰁷木
栍	木丿󰀝
堍	土⺈口丶
褝	衤󰁧󰀧十
褞	衤󰁧曰皿
褟	衤󰁧曰羽
褠	衤󰁧󰀀土
沉	氵冖几󰁀
褤	衤󰁧土󰀔
褦	衤󰁧厶匕
惥	臼人心󰁧
助	󰀐󰀞力ノ
歪	丆卜一止
㭪	木甫󰁶
䊩	米丿米田
褬	衤󰁧又木
褯	衤󰁧广丨
倜	亻󰀼土口
褳	衤󰁧車辶
褵	衤󰁧亠厶
褷	衤󰁧彳󰁾
褸	衤󰁧󰀻女
褹	衤󰁧土丶
銩	釒丿土厶
褻	亠土八󰀔
筪	⺮匚甲󰀬
芩	艹人丶乛
美	丷王大󰁧
而	丆冂〢󰀬
龎	厂立月三
㸭	牜巴󰁀
㟍	山丶艮󰁶
䟍	土󰁾丿方
倌	亻宀丨󰁃
澎	氵士口彡
褽	尸二小󰀔
褾	衤󰁧覀小
褿	衤󰁧一日
襀	衤󰁧貝
襂	衤󰁧厶彡
襃	亠亻二󰀔
䗥	虫彳人󰁾
㣟	彳士口󰀝
择	扌又󰀟󰀢
嬪	女宀一貝
䬪	人良丆卜
㬪	日日日彑
忣	忄乃󰂃󰁶
襊	衤󰁧曰又
襋	衤󰁧木冂
襌	衤󰁧口十
襍	衤󰁧亻木
襎	衤󰁧丿田
襏	衤󰁧癶又
襐	衤󰁧⺈󰀓
襑	衤󰁧彐寸
鋩	釒艹亠󰄃
謪	言亠丷口
狩	犭ノ宀寸
襒	衤󰁧㡀攵
襓	衤󰁧土儿
鉴	〢𠂉丶金
襕	衤󰁧门󰀹
襖	衤󰁧丿大
襗	衤󰁧罒十
襘	衤󰁧人日
襙	衤󰁧口木
廎	广󰁴丆貝
从	人人󰁶
㻎	大王王󰀌
襛	衤󰁧ㄇ󰀖
黎	禾勹丿氺
蚍	虫󰁴匕󰁀
绎	纟又󰀟󰀢
滎	火火冖水
怩	忄尸匕󰁀
羫	⺶宀八工
辫	辛纟辛󰀢
韪	日一󰁾丨
襜	衤󰁧⺈言
襝	衤󰁧人人
聞	門耳󰀌
遞	⺁虍几辶
襡	衤󰁧罒虫
襢	衤󰁧亠一
襣	衤󰁧丿󰀯
襤	衤󰁧匚皿
襥	衤󰁧亻夫
㾫	疒丶尸艹
䟪	口止丿之
倩	亻主月󰀝
讝	言口口攵
襪	衤󰁧艹人
襫	衤󰁧大日
襬	衤󰁧罒匕
嫿	女󰁬土一
襮	衤󰁧曰氺
襯	衤󰁧立儿
襰	衤󰁧木貝
伎	亻十又󰁶
噍	口亻󰁷灬
襱	衤󰁧立三
㼎	⺁厶󰂃乂
虍	󰅋七󰁫
鼎	目󰁕丆󰁈
晍	日冂一口
癍	疒王文王
灩	氵山三皿
枪	木人⺋󰁀
鞪	󰁻乛亅󰀜
聩	耳口丨贝
襳	衤󰁧人󰀞
襵	衤󰁧耳耳
䙥	衤󰁧󰀙󰁻
㡟	冂丨一日
襶	衤󰁧十八
襷	衤󰁧󰀗手
肞	月丶乂󰁶
傞	亻⺶工󰀝
㞪	󰁭山󰀬
襹	衤󰁧一匕
快	忄ユ人󰁶
俫	亻一丷木
襺	衤󰁧艹虫
邞	夫阝󰀢
毄	車口几又
襽	衤󰁧艹󰀹
叞	尸二小又
見	目儿󰀅
㰟	气⺈人󰁶
覑	丿丨一儿
㜍	女广󰁬口
覒	毛目儿󰁀
幎	冂丨冖六
乎	丿丷󰀛󰀵
眍	目匚乂󰁶
湎	氵丆冂三
霍	󰀙亻󰁷󰀘
蜍	虫人一木
衪	衤󰁧也󰁀
顪	止戊一貝
桪	木彐寸󰁶
硪	石丿扌丶
視	礻󰁶目儿
覛	⺁󰀕目儿
覜	儿󰀪目儿
覟	士心目儿
覤	虍几目儿
覥	ㄇ󰁺八儿
覦	人一月儿
㶦	火󰁻乛亅
䡪	車丶尸羽
塪	土爫臼󰀝
覩	土丿日儿
㡪	冂丨爫夂
詥	言人一口
覫	亠丷冖儿
覰	虍󰀐󰀞儿
観	𠂉一亻儿
覹	目儿彳攵
覺	󰀗乂乂儿
覽	匚丨󰁃儿
鍞	釒󰀥貝󰁶
獞	犭󰁥立土
㛍	女大人人
于	一󰀛󰀵
囍	士口䒑口
溎	氵木土土
盍	土厶皿󰀘
躎	口止一乂
雍	亠󰁲丿󰁷
蕌	艹日日日
界	田人󰀯󰀬
敌	丿古夂󰁶
嶍	山羽白󰀝
䶍	一厶土󰀯
㕌	厂日一寸
䍞	冂乂乂󰀞
覿	士罒貝儿
颖	匕禾丆贝
觍	ㄇ󰁺八󰁜
觓	⺈用󰁐丨
觔	⺈用力󰁥
觕	牜⺈用󰀢
玞	王夫󰁶
厞	厂丨三三
觠	丷夫⺈用
觡	⺈用夂口
觧	⺈用羊󰀢
觩	⺈用一丶
觬	⺈用臼儿
勞	火火冖力
拞	扌丘󰀝
觱	戊一口用
觲	⺈用丷󰀟
䜻	一口䒑󰁾
圻	土斤󰀢
觵	⺈用󰁺八
㓍	冫亠厶儿
蜻	虫主月󰀝
响	口丿冂口
鵍	宀二儿灬
瓍	王阝辶
觶	⺈用口十
觷	󰀗乂乂用
觹	⺈用亻𠃌
觺	匕𠂉大用
觻	⺈用白木
殘	一夕戈戈
觽	⺈用山𠃌
訁	言丶一一
訂	言丁󰀢
訃	言卜󰁶
訄	九言󰀌
訅	言九󰁀
訆	言󰁐丨󰀢
計	言十󰀢
訉	言几丶󰁶
䫟	口貝丆貝
匞	匚工󰀌
茞	艹匚丨丨
冲	冫口丨󰀢
訌	言工󰀝
訍	言又丶󰁶
訏	言一󰀛󰀢
訐	言干󰀢
訑	言也󰁀
㛻	女大土土
訒	言刀丶󰁶
囻	囗󰁂󰀁󰁫
䛻	言⺁十目
盻	目八一ㄅ
曻	曰夕㐄󰀬
電	󰀙曰乚󰀅
镌	钅亻󰁷乃
渍	氵主贝󰁶
嗌	口䒑八皿
藌	艹宀心虫
痌	疒冂一口
泷	氵ヒ丶
記	言己󰁀
不	丆卜󰀦
㗌	口宀一土
訙	言九丶󰁶
訚	门言󰀌
訛	言亻ヒ󰁀
訜	言八刀󰁥
訝	言󰀄亅丿
訞	言丿大󰁶
訟	言八厶󰁶
訠	言弓丨󰀢
訡	言人丶乛
訢	言斤󰀢
訣	言ユ人󰁶
扞	扌干󰀢
鉞	釒戈󰁐󰁀
訥	言冂人󰁶
牞	牜力󰁥
艞	丿󰁪⺮󰀪
訦	言冖󰁜󰁀
㚻	田女󰀘
䚻	󰁝言󰀘
嚻	口口丆口
暻	日曰󰁸小
皻	虍󰀐󰀞皮
蚻	木乚虫󰁧
隻	亻󰁷又󰁧
絍	糹亻丿士
赍	十人人贝
嵍	󰁻乛亅山
斌	文二止丶
㖌	亻九口匕
䖌	虍几刂󰀢
顋	田心丆貝
訰	言一凵乚
許	言𠂉十󰀢
訲	言口丨󰀢
訳	言尸󰂃󰁶
訴	言斤丶󰁶
訵	言四󰀝
訶	言丁口󰀝
訷	言曰丨󰀢
訸	言禾󰁶
訹	言木丶󰁶
鈺	釒王丶󰁶
軴	車丶王󰀝
维	纟亻󰁷󰀝
滴	氵亠丷古
廴	廴󰁌󰂃
䩻	廿󰀜󰀋灬
㻴	王日罒又
